CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
V7AM3,MIYAMA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,WELLS MARINE AGENCIES,SELA,2025/05/10 07:30,"QINZHOU, GX"
9V6516,WAN HAI 295,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC9,2025/05/10 08:00,"SHEKOU, SHENZHEN"
3EIC,XINDE HONOR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,SGS HONG KONG LIMITED,SELA,2025/05/10 08:00,OPEN SEA
V3WR4,XIN ZHONG RUI 7,GENERAL / HEAVY LIFT CARGO,BELIZE,BRIGHT CAPITAL SHIPPING CO LIMITED,SWLA,2025/05/10 09:00,INCHEON
3FAD8,BAI CHAY BRIDGE,CONTAINER,PANAMA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KC7,2025/05/10 10:00,"SHEKOU, SHENZHEN"
3FQL8,HAYABUSA,GENERAL / HEAVY LIFT CARGO,PANAMA,NS UNITED SHIPPING (HK) CO LIMITED,PT,2025/05/10 10:00,OPEN SEA
3E7203,GOLDEN FOREST,RORO/REEFER CARRIER,PANAMA,E & M AGENCY LIMITED,SWLA,2025/05/10 12:00,"NANSHA, PANYU"
9V7683,WAN HAI 176,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC10,2025/05/10 14:00,LAEM CHABANG
9V7392,WAN HAI 360,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,WA,2025/05/10 14:00,"NANSHA, PANYU"
9VJQ2,PANJA BHUM,CONTAINER,SINGAPORE,SINOTRANS (HK) SHIPPING LTD,CMTY,2025/05/10 14:30,"NINGBO, ZJ"
VRWJ6,JIAN YANG HUA HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",CGW LOGISTICS CO LIMITED,,2025/05/10 15:00,"ZHENJIANG, JS"
3EWL5,COMO GLORY ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,GULF AGENCY CO (HK) LTD,,2025/05/10 15:00,CAMPHA
VRNW3,NEW PEACE,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",WALLEM SHIPPING (HK) LTD,PT,2025/05/10 16:00,SINGAPORE
BVND5,XIN BIN ZHOU,CONTAINER,CHINA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,NCPBS,2025/05/10 16:30,"SHEKOU, SHENZHEN"
VRUW7,CUL LAEMCHABANG,CONTAINER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",,2025/05/10 17:00,"NANSHA, PANYU"
BPBC,XIN CHI WAN,CONTAINER,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,PT,2025/05/10 17:00,"SHEKOU, SHENZHEN"
ZCDU9,PIANO LAND,PASSENGER,BERMUDA,LEAGUER SHIPPING LIMITED,,2025/05/10 19:00,"OTHER, JAPAN"
9V7853,WAN HAI 368,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC10,2025/05/10 19:00,"SHEKOU, SHENZHEN"
9LU2780,YONG SHUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SIERRA LEONE,"UNITRANS AGENCY HONG KONG CO., LIMITED",WL,2025/05/10 20:00,OPEN SEA
5LAR7,MSC SHAHAR,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,E,2025/05/10 22:00,"YANTIAN, SHENZHEN"
D5QU4,TORRES STRAIT,CONTAINER,LIBERIA,PENAVICO (HONG KONG) LIMITED,,2025/05/10 22:00,"SHANGHAI, SH"
3FTB3,EVER CLEAR,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,KC9,2025/05/10 23:00,"SHEKOU, SHENZHEN"
V7A2845,STAR FRONTIER,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,E,2025/05/10 23:00,HAIPHONG
VRTE8,CUL HAIPHONG,CONTAINER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",,2025/05/10 23:00,"NANSHA, PANYU"
9V7396,WAN HAI A01,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,W,2025/05/10 23:00,"NINGBO, ZJ"
OXCQ2,SAN ANTONIO MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,WL,2025/05/10 23:00,"SHANGHAI, SH"
9V7821,EVER VERSE,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,SWLA,2025/05/10 23:00,"SHANGHAI, SH"
BOAM7,ZHONG GU DONG HAI,CONTAINER,CHINA,PENAVICO (HONG KONG) LIMITED,S,2025/05/11 00:00,HAIPHONG
9VCB4,XH DEEP COVER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,GRANDFAME SHIP MANAGEMENT LTD,E,2025/05/11 01:00,NEWCASTLE
C6EX3,IFESTOS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,BAHAMAS,OCEAN DRAGON AGENCY COMPANY LIMITED,,2025/05/11 02:00,OPEN SEA
XVOV,SAI GON GAS,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,BEN LINE AGENCIES (HK) LTD,,2025/05/11 02:00,HAIPHONG
BORJ2,HONG QING,LIQUIFIED PETROLEUM GAS TANKER,CHINA,INCHCAPE SHIPPING SERVICES (HK) LTD,SLA,2025/05/11 02:00,TANJUNG BARA
3EVM4,KLARA,CHEMICAL,PANAMA,S5 ASIA LIMITED,,2025/05/11 02:00,BINTULU
9WTO8,HARBOUR STAR,CONTAINER,MALAYSIA,HARBOUR-LINK LINES LIMITED ,SELA,2025/05/11 04:00,KUCHING
DSIJ9,WOO JONG,"TANKER (CRUDE,FUEL,DIESEL,LUB)",REPUBLIC OF KOREA,PENAVICO (HONG KONG) LIMITED,E,2025/05/11 04:00,ULSAN
9V6499,WAN HAI 328,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/11 07:00,TOKYO
V7QK4,ULTRA JAGUAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,CONCORD MARINE LIMITED,,2025/05/11 08:00,HONGAI
9V7865,WAN HAI 373,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/11 08:00,"DALIAN, LN"
3FMB6,TRANS HARMONY 1,CAR CARRIER,PANAMA,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,,2025/05/11 09:16,"HUANGPU, GD"
V7A7436,TS JOHOR,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,KC7,2025/05/11 09:24,"SHEKOU, SHENZHEN"
D5SM5,HC FORWARD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SGS HONG KONG LIMITED,,2025/05/11 12:00,"OTHER, INDONESIA"
3ELS,GREEN CLARITY,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,,2025/05/11 12:00,"SHEKOU, SHENZHEN"
V7DC5,TS OSAKA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,,2025/05/11 12:08,"NINGBO, ZJ"
5LCM6,MSC TARA III,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,S,2025/05/11 15:00,"YANTIAN, SHENZHEN"
