CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
9V5307,INTERASIA ADVANCE,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/09 13:24,KC6,"DALIAN, LN"
9V5600,MAERSK HIDALGO,CONTAINER,SINGAPORE,PENAVICO (HONG KONG) LIMITED,2025/05/09 14:12,KC18,"YANTIAN, SHENZHEN"
3WBV9,VIMC BRAVE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,VIETNAM,VEROSA AGENCY LIMITED,2025/05/09 14:20,SELA,OPEN SEA
V7QP3,RADIANT REB,GENERAL / HEAVY LIFT CARGO,MARSHALL ISLANDS,GRANDFAME SHIP MANAGEMENT LTD,2025/05/09 14:37,SELA,"FANGCHENG, GX"
3EHB3,GRACE ZEPHYR,GENERAL / HEAVY LIFT CARGO,PANAMA,IGOR SHIPPING AGENCIES LTD,2025/05/09 14:53,SWLA,LAEM CHABANG
BHBW,CSE GLORY EXPRESS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"TAIWAN, CHINA",SK SHIPPING LIMITED,2025/05/09 15:03,PSSA,KAOHSIUNG
3E7170,BRIZO,LIQUIFIED PETROLEUM GAS TANKER,PANAMA,CHINA RICH SHIPPING COMPANY LIMITED,2025/05/09 15:22,SLA,OPEN SEA
V7A7428,TS SHENZHEN,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,2025/05/09 15:23,WA3,"SHEKOU, SHENZHEN"
DSPO4,JAEWON2,TUG,REPUBLIC OF KOREA,GOTACK SHIPPING LIMITED,2025/05/09 15:31,WA1,OPEN SEA
5LNY8,AOMARI ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,TINEKEN SHIPPING LIMITED,2025/05/09 15:31,SELA,GUANGZHOU
VRID2,SHEN HAI,LIQUIFIED NATURAL GAS TANKER,"HONG KONG, CHINA",INCHCAPE SHIPPING SERVICES (HK) LTD,2025/05/09 15:54,SCCA,BINTULU
3E7679,XIN RONG SHENG 69,GENERAL / HEAVY LIFT CARGO,PANAMA,E & M AGENCY LIMITED,2025/05/09 16:16,SWLA,"OTHER, VIETNAM"
3E4693,HELENA RISING,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/09 16:34,SWLA,ZHOUSHAN
V3LG3,FORTUNE RISE,GENERAL / HEAVY LIFT CARGO,BELIZE,CGW LOGISTICS CO LIMITED,2025/05/09 16:49,NWLA,"QUANZHOU, FJ"
S9A3179,XIN HUA MAO 006,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SAO TOME & PRINCIPE,SHK AGENCY LIMITED,2025/05/09 17:02,SWLA,MONROVIA
