CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
3EVM4,KLARA,CHEMICAL,PANAMA,GUANGZHOU,S5 ASIA LIMITED,7,2025/05/10 19:03,SLA
BPRY,HUA HAI 21,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,YANGPU,VASTON SHIPPING AGENCY LIMITED,11.7,2025/05/10 20:05,SINO
D5BL2,LITO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"HUANGPU, GD",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,7.12,2025/05/10 20:05,SWLA
9V7865,WAN HAI 373,CONTAINER,SINGAPORE,CAT LAI PORT,HYALINE SHIPPING (HK) CO LTD,9.2,2025/05/10 20:16,KC7
V7A2823,TS SINGAPORE,CONTAINER,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,12,2025/05/10 20:35,KC12
XVEQ7,HAIAN LINK,CONTAINER,VIETNAM,HAIPHONG,MEGATOP AGENCY LIMITED,7.3,2025/05/10 20:39,KC10
TJM5224,HALCYON,CONTAINER,CAMEROON,INCHEON,YIU LIAN DOCKYARDS LTD,4.5,2025/05/10 21:14,CMTY
5LCM6,MSC TARA III,CONTAINER,LIBERIA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,8.6,2025/05/10 22:19,KC2
XVOV,SAI GON GAS,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,"DONGGUAN, GD",BEN LINE AGENCIES (HK) LTD,4.8,2025/05/10 22:20,SLA
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MALTA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,10.7,2025/05/10 23:40,SINO
VRTE8,CUL HAIPHONG,CONTAINER,"HONG KONG, CHINA","SHANTOU, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",7.4,2025/05/10 23:58,SELA
9V6513,WAN HAI 293,CONTAINER,SINGAPORE,CAT LAI PORT,HYALINE SHIPPING (HK) CO LTD,9.7,2025/05/11 00:13,WA2
5LFU8,WAN HAI 178,CONTAINER,LIBERIA,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,8.5,2025/05/11 00:46,KC6
5LCT5,AS ANNE,CONTAINER,LIBERIA,TAICHUNG,OOCL HONG KONG BRANCH,9.2,2025/05/11 01:16,KC11
5LGV4,YM TRILLION,CONTAINER,LIBERIA,KAOHSIUNG,YANG MING LINE (HONG KONG) LTD,10.5,2025/05/11 01:47,KC5
V7IL7,BANASTAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"OTHER, CHINA (COAST)",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,7,2025/05/11 02:17,SWLA
2BOK5,COSCO ROTTERDAM,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,"XIAMEN, FJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,11.3,2025/05/11 02:35,WA2
C6EX3,IFESTOS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,BAHAMAS,GUANGZHOU,OCEAN DRAGON AGENCY COMPANY LIMITED,7.4,2025/05/11 03:00,SELA
BKLH,EVER BEADY,CONTAINER,"TAIWAN, CHINA",LAEM CHABANG,EVERGREEN MARINE (HONG KONG) LTD,10.8,2025/05/11 03:13,KC10
BPPH3,GUO SHUN 28,GENERAL / HEAVY LIFT CARGO,CHINA,"ZHENJIANG, JS",CGW LOGISTICS CO LIMITED,8.6,2025/05/11 04:07,SWLA
D5UF8,ESL WALRUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"ZHUHAI, GD",PENAVICO (HONG KONG) LIMITED,8.5,2025/05/11 04:49,SELA
3FAT7,JIAN RUI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, CHINA (COAST)",EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,5.8,2025/05/11 05:42,SWLA
