CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
V7A4532,CONSCIENCE,CONTAINER,MARSHALL ISLANDS,OCEANLINKS MARINE LIMITED,PT,2025/05/16 06:29,HAIPHONG
BOAM7,ZHONG GU DONG HAI,CONTAINER,CHINA,PENAVICO (HONG KONG) LIMITED,KC20,2025/05/16 08:00,"NINGBO, ZJ"
TJM5208,MARIA 593,GENERAL / HEAVY LIFT CARGO,CAMEROON,YIU LIAN DOCKYARDS LTD,S,2025/05/16 08:00,INCHEON
VRLZ3,OOCL EGYPT,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,KC13,2025/05/16 08:00,"YANTIAN, SHENZHEN"
VRPS8,SILVER JOAN,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",GULF AGENCY CO (HK) LTD,SLA,2025/05/16 11:05,SINGAPORE
V7PC2,TS KAOHSIUNG,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,NLA,2025/05/16 11:07,KAOHSIUNG
D5YE7,KMTC XIAMEN,CONTAINER,LIBERIA,KMTC (HK) CO LIMITED,KC10,2025/05/16 13:00,"SHEKOU, SHENZHEN"
9V9106,SEACON OSLO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,WALLEM SHIPPING (HK) LTD,WL,2025/05/16 14:00,"OTHER, VIETNAM"
3WNW,DONG BA,GENERAL / HEAVY LIFT CARGO,VIETNAM,CGW LOGISTICS CO LIMITED,,2025/05/16 14:00,"OTHER, VIETNAM"
VRTT8,NICOLAI MAERSK,CONTAINER,"HONG KONG, CHINA",SINOTRANS (HK) SHIPPING LTD,KC17,2025/05/16 14:30,KAOHSIUNG
9V7800,EVER WIN,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,WL,2025/05/16 15:00,"SHEKOU, SHENZHEN"
HSB8290,ZIM THAILAND,CONTAINER,THAILAND,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,KC19,2025/05/16 15:00,"YANTIAN, SHENZHEN"
9V6497,WAN HAI 326,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,WA,2025/05/16 15:00,"NANSHAN, SHENZHEN"
9HA5926,CMA CGM BUZIOS,CONTAINER,MALTA,CMA CGM (HONG KONG) LIMITED,KC9,2025/05/16 15:30,"SHANGHAI, SH"
V7A5639,GREGOS,CONTAINER,MARSHALL ISLANDS,CMA CGM ASIA SHIPPING PTE. LTD.,KC,2025/05/16 16:00,"NANSHA, PANYU"
