CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
3E7176,CHANG XIA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"NANTONG, JS",EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,7.9,2025/05/08 18:28,SELA
V7MK8,ARGONAUT,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"ZHANJIANG, GD",INCHCAPE SHIPPING SERVICES (HK) LTD,7.2,2025/05/08 18:42,SWLA
3ECD5,INDIGO SW,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"ZHUHAI, GD",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,10,2025/05/08 19:38,SWLA
VRND5,HC SUNSHINE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","DONGGUAN, GD",SGS HONG KONG LIMITED,6.4,2025/05/08 19:59,SELA
V7ZA6,BLUE ARROW,CHEMICAL,MARSHALL ISLANDS,HAIPHONG,SUN LORD CO LTD,6.18,2025/05/08 20:36,SLA
H3TK,TIAN LI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,VOSTOCHNIY,SK SHIPPING LIMITED,11,2025/05/08 20:41,SWLA
BOFK7,YUAN HE WAN,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,GUANGZHOU,PENAVICO (HONG KONG) LIMITED,8.8,2025/05/08 20:49,SLA
VRFO6,JJ SUN,CONTAINER,"HONG KONG, CHINA","XIAMEN, FJ",OCEANLINKS MARINE LIMITED,8,2025/05/08 21:06,CMTY
BPIB9,DONG GUI 18,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,"ZHUHAI, GD",CONCORD MARINE LIMITED,5,2025/05/08 21:09,SLA
D5CE4,SATURNUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"ZHUHAI, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",7,2025/05/08 21:52,SELA
BLFH4,XIN FENG HAI 8,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,MURORAN,CGW LOGISTICS CO LIMITED,7.3,2025/05/08 22:39,SELA
3E7170,BRIZO,LIQUIFIED PETROLEUM GAS TANKER,PANAMA,"YANTAI, SD",CHINA RICH SHIPPING COMPANY LIMITED,7.6,2025/05/08 22:51,SLA
5LNY8,AOMARI ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SINGAPORE,TINEKEN SHIPPING LIMITED,13.5,2025/05/08 23:26,SELA
VQUK5,EVER PRIMA,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,KAOHSIUNG,EVERGREEN MARINE (HONG KONG) LTD,7.5,2025/05/08 23:44,KC8
5BEM4,NORDLEOPARD,CONTAINER,CYPRUS,"XIAMEN, FJ",PENAVICO (HONG KONG) LIMITED,8.42,2025/05/08 23:54,KC18
V7A3235,YASA MAGNOLIA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"JIANGMEN, GD",BEN LINE AGENCIES (HK) LTD,6.3,2025/05/09 00:00,SWLA
9V5307,INTERASIA ADVANCE,CONTAINER,SINGAPORE,CAT LAI PORT,HYALINE SHIPPING (HK) CO LTD,9.5,2025/05/09 00:04,KC6
VRME6,OOCL BANGKOK,CONTAINER,"HONG KONG, CHINA",VUNGTAU,OOCL HONG KONG BRANCH,12.4,2025/05/09 00:11,KC14
V7WD2,SINOKOR SUNRISE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,CAMPHA,WELLS MARINE AGENCIES,8.2,2025/05/09 00:19,SELA
V7A7428,TS SHENZHEN,CONTAINER,MARSHALL ISLANDS,KAOHSIUNG,T.S. LINES LIMITED,7.7,2025/05/09 00:47,WA3
3E7225,GAS INFINITY,LIQUIFIED PETROLEUM GAS TANKER,PANAMA,"DONGGUAN, GD",INCHCAPE SHIPPING SERVICES (HK) LTD,6.4,2025/05/09 01:17,SLA
9V5600,MAERSK HIDALGO,CONTAINER,SINGAPORE,"SHANGHAI, SH",PENAVICO (HONG KONG) LIMITED,12.3,2025/05/09 01:36,KC18
3E6117,XIN RONG SHENG 19,GENERAL / HEAVY LIFT CARGO,PANAMA,"YANGJIANG, GD",MINDA SHIPPING (HONG KONG) LIMITED,4.6,2025/05/09 02:18,SWLA
3E5997,BRIGHT SAKURA,CONTAINER,PANAMA,KEELUNG,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,9.9,2025/05/09 02:55,KC2
H3GB,JINYUNHE,CONTAINER,PANAMA,"YANTIAN, SHENZHEN",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,7.6,2025/05/09 03:21,KC12
3E2143,HONG RUN 18,MULTI-PURPOSE(SEMI CONT.),PANAMA,HAIPHONG,OCEAN BASE CO LTD,9,2025/05/09 04:55,PT
V7A6672,ASIAN LILY,GENERAL / HEAVY LIFT CARGO,MARSHALL ISLANDS,"OTHER, VIETNAM",NS UNITED SHIPPING (HK) CO LIMITED,9,2025/05/09 05:18,SWLA
DYNB,HIBARINO,GENERAL / HEAVY LIFT CARGO,PHILIPPINES,"OTHER, VIETNAM",VEROSA AGENCY LIMITED,9.1,2025/05/09 05:20,SELA
V7QP3,RADIANT REB,GENERAL / HEAVY LIFT CARGO,MARSHALL ISLANDS,"LIANYUNGANG, JS",GRANDFAME SHIP MANAGEMENT LTD,7.4,2025/05/09 05:54,SELA
3EVX7,ASIAN FLOWER,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, JAPAN",NS UNITED SHIPPING (HK) CO LIMITED,7.5,2025/05/09 06:15,SELA
BFHH,TIAN ZUO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"CHAOZHOU, GD",SHK AGENCY LIMITED,9,2025/05/09 07:04,SWLA
VRQQ3,KMTC TAIPEIS,CONTAINER,"HONG KONG, CHINA","SHEKOU, SHENZHEN",KMTC (HK) CO LIMITED,9.5,2025/05/09 07:29,KC10
9V2692,DIAMOND INDAH,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,YEOSU,INCHCAPE SHIPPING SERVICES (HK) LTD,12.77,2025/05/09 08:33,SELA
D5YE8,KMTC SHIMIZU,CONTAINER,LIBERIA,BUSAN,KMTC (HK) CO LIMITED,11.33,2025/05/09 08:37,KC11
3EHB3,GRACE ZEPHYR,GENERAL / HEAVY LIFT CARGO,PANAMA,NAGOYA,IGOR SHIPPING AGENCIES LTD,9.5,2025/05/09 08:50,SWLA
VRUL4,SITC YUNCHENG,CONTAINER,"HONG KONG, CHINA",PASIR GUDANG,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,9.9,2025/05/09 09:13,KC6
S9A3179,XIN HUA MAO 006,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SAO TOME & PRINCIPE,FUJIAN,SHK AGENCY LIMITED,7,2025/05/09 09:29,SWLA
BH3521,SHUN TAI HENG NO.2,FISHING,"TAIWAN, CHINA",HSING TA KANG,ISM SHIPPING AGENT COMPANY,3.2,2025/05/09 09:39,YMTA
5BQC4,CAPE FORTIUS,CONTAINER,CYPRUS,KAOHSIUNG,OOCL HONG KONG BRANCH,8.75,2025/05/09 09:39,KC10
9V7800,EVER WIN,CONTAINER,SINGAPORE,DANANG,EVERGREEN MARINE (HONG KONG) LTD,8.3,2025/05/09 09:43,PSSA
V7IG8,TIANJIN BRIDGE,CONTAINER,MARSHALL ISLANDS,"XIAMEN, FJ",CMA CGM ASIA SHIPPING PTE. LTD.,12.2,2025/05/09 09:58,KC9
VRID2,SHEN HAI,LIQUIFIED NATURAL GAS TANKER,"HONG KONG, CHINA",YANGSHAN,INCHCAPE SHIPPING SERVICES (HK) LTD,10,2025/05/09 10:23,SCCA
3WBV9,VIMC BRAVE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,VIETNAM,PALEMBANG,VEROSA AGENCY LIMITED,12.55,2025/05/09 10:37,SELA
VRDX3,ZHEN HUA 25 ,OTHER,"HONG KONG, CHINA","NANTONG, JS",YIU LIAN DOCKYARDS LTD,8.5,2025/05/09 10:42,SWLA
3WKI9,HERON,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,"OTHER, PHILIPPINES",PENAVICO (HONG KONG) LIMITED,5.5,2025/05/09 10:57,SLA
BPBY,XIN DAN DONG,CONTAINER,CHINA,"XIAMEN, FJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,11.2,2025/05/09 11:25,SELA
3E7679,XIN RONG SHENG 69,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, JAPAN",E & M AGENCY LIMITED,7.5,2025/05/09 13:14,SWLA
S9A3178,XIN HUA MAO 005,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SAO TOME & PRINCIPE,FUJIAN,SHK AGENCY LIMITED,7,2025/05/09 13:27,SELA
V3LG3,FORTUNE RISE,GENERAL / HEAVY LIFT CARGO,BELIZE,"OTHER, VIETNAM",CGW LOGISTICS CO LIMITED,6.2,2025/05/09 13:35,NWLA
D7UN,KMTC NINGBO,CONTAINER,REPUBLIC OF KOREA,SURABAYA,KMTC (HK) CO LIMITED,11.1,2025/05/09 14:10,KC10
3E4693,HELENA RISING,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, VIETNAM",CGW LOGISTICS CO LIMITED,6.1,2025/05/09 14:25,SWLA
9V7590,WAN HAI 102,CONTAINER,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,8.4,2025/05/09 14:37,KC6
5LUD7,GLOBAL CROWN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,HO CHI MINH CITY,INCHCAPE SHIPPING SERVICES (HK) LTD,7.69,2025/05/09 14:43,SWLA
3FWA7,RUN XIANG,LIQUIFIED PETROLEUM GAS TANKER,PANAMA,"YANTIAN, SHENZHEN",S5 ASIA LIMITED,6,2025/05/09 15:03,SLA
