CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
A8ZM5,FPMC B 108,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"OTHER, VIETNAM","UNITRANS AGENCY HONG KONG CO., LIMITED",7.4,2025/05/12 18:38,SWLA
XVJV7,AMBER,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,HAIPHONG,BEN LINE AGENCIES (HK) LTD,4.77,2025/05/12 18:41,SLA
3EJI7,ZAMBALES,RORO/REEFER CARRIER,PANAMA,TAIPEI,EASTERN WORLDWIDE CO LTD,5.44,2025/05/12 19:01,CMTY
9HA5839,CNC PUMA,CONTAINER,MALTA,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,9.02,2025/05/12 19:15,URMA
3E6120,HARMONY 2,GENERAL / HEAVY LIFT CARGO,PANAMA,"ZHANJIANG, GD",CGW LOGISTICS CO LIMITED,5.4,2025/05/12 20:04,SWLA
9HA5817,CNC CHEETAH,CONTAINER,MALTA,"LIANYUNGANG, JS",CMA CGM ASIA SHIPPING PTE. LTD.,9.2,2025/05/12 20:06,KC7
BFAH8,RUI NING 8,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"BAYUQUAN, LN",SK SHIPPING LIMITED,12.6,2025/05/12 20:16,SWLA
VRWW2,YI HUI LIAN RUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","CAILAN, VIETNAM",SGS HONG KONG LIMITED,10.1,2025/05/12 21:25,SELA
VRPU8,XING SHOU HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","YANGJIANG, GD",MINDA SHIPPING (HONG KONG) LIMITED,6.7,2025/05/12 21:50,SWLA
3E5913,YAN GANG 2,GENERAL / HEAVY LIFT CARGO,PANAMA,"QINZHOU, GX",CGW LOGISTICS CO LIMITED,4.8,2025/05/12 22:03,SELA
3E2735,XIN YUAN 237,CONTAINER,PANAMA,HAIPHONG,OCEAN BASE CO LTD,9,2025/05/12 22:11,SWLA
D7VD,DONGJIN CONTINENTAL,CONTAINER,REPUBLIC OF KOREA,"SHEKOU, SHENZHEN",SINOTRANS (HK) SHIPPING LTD,7.1,2025/05/12 22:43,SELA
VRWI3,OOCL BAUHINIA,CONTAINER,"HONG KONG, CHINA","NANSHA, PANYU",OOCL HONG KONG BRANCH,11.5,2025/05/12 23:10,KC14
D7VN,KMTC COLOMBO,CONTAINER,REPUBLIC OF KOREA,KARACHI,KMTC (HK) CO LIMITED,12.5,2025/05/12 23:16,KC8
VRUN6,ONE PARANA,CONTAINER,"HONG KONG, CHINA","SHEKOU, SHENZHEN",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,14.6,2025/05/13 00:30,KC2
3E8732,HUI FENG HAI 17,GENERAL / HEAVY LIFT CARGO,PANAMA,"TIANJIN XINGANG, TJ",CGW LOGISTICS CO LIMITED,7.1,2025/05/13 00:31,SWLA
9V6494,WAN HAI 325,CONTAINER,SINGAPORE,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,11.1,2025/05/13 01:24,KC6
VRMV2,YUEHAI STAR,CHEMICAL,"HONG KONG, CHINA","DONGGUAN, GD",CGW LOGISTICS CO LIMITED,6.3,2025/05/13 02:14,SLA
V7A2844,STAR EXPLORER,CONTAINER,MARSHALL ISLANDS,INCHEON,NAMSUNG SHIPPING HONG KONG LIMITED,7.6,2025/05/13 02:18,KC10
BLHP,YM IMMENSE,CONTAINER,"TAIWAN, CHINA",HO CHI MINH CITY,YANG MING LINE (HONG KONG) LTD,8.4,2025/05/13 02:24,KC7
9HA5466,CMA CGM HOPE,CONTAINER,MALTA,"XIAMEN, FJ",CMA CGM (HONG KONG) LIMITED,13.9,2025/05/13 03:33,SELA
9VFL3,ACX DIAMOND,CONTAINER,SINGAPORE,KEELUNG,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,10,2025/05/13 04:06,KC5
5BCK2,MEGALOHARI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"CHAOZHOU, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",6.72,2025/05/13 04:31,SELA
V7A6216,TS HAKATA,CONTAINER,MARSHALL ISLANDS,KAOHSIUNG,T.S. LINES LIMITED,7.9,2025/05/13 05:21,KC10
3E5137,CHUNRONG 803,GENERAL / HEAVY LIFT CARGO,PANAMA,"NANSHA, PANYU",CGW LOGISTICS CO LIMITED,5,2025/05/13 06:08,SWLA
VRBK8,OSG BOSSTEC,CONTAINER,"HONG KONG, CHINA","SHEKOU, SHENZHEN","UNITRANS AGENCY HONG KONG CO., LIMITED",6.8,2025/05/13 07:24,PT
9LU2481,LIAN YUN 9,GENERAL / HEAVY LIFT CARGO,SIERRA LEONE,TANJUNG PANDANG,BRIGHT CAPITAL SHIPPING CO LIMITED,6.2,2025/05/13 07:26,SWLA
D7DX,HEUNG-A HOCHIMINH,CONTAINER,REPUBLIC OF KOREA,"NANSHA, PANYU",KONG HING AGENCY LTD,10.3,2025/05/13 07:43,KC9
D7IG,QINGDAO TRADER,CONTAINER,REPUBLIC OF KOREA,KWANGYANG,SINOKOR HONGKONG CO LIMITED,9.05,2025/05/13 08:15,KC11
S6ST,KOTA RATU,CONTAINER,SINGAPORE,KOROR,PACIFIC INTERNATIONAL LINES (HK) LTD,4.9,2025/05/13 08:34,KC3
3E7671,FU LONG SHENG,GENERAL / HEAVY LIFT CARGO,PANAMA,"BAYUQUAN, LN",CONCORD MARINE LIMITED,7.6,2025/05/13 08:36,SELA
OWYZ2,MARGRETHE MAERSK,CONTAINER,DENMARK,"YANTIAN, SHENZHEN",PENAVICO (HONG KONG) LIMITED,11.3,2025/05/13 08:39,KC19
BPAR,XIN QING DAO,CONTAINER,CHINA,LAEM CHABANG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,11,2025/05/13 09:14,KC12
9V7978,EVER FUTURE,CONTAINER,SINGAPORE,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,12.7,2025/05/13 10:20,KC10
5LES7,EVER ORIGIN,CONTAINER,LIBERIA,HO CHI MINH CITY,EVERGREEN MARINE (HONG KONG) LTD,9.1,2025/05/13 10:28,KC7
5LKO9,LITTLE DOLPHIN,CONTAINER,LIBERIA,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,7.5,2025/05/13 11:08,KC6
3E2004,BO YANG TUO ZHAN,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, JAPAN",MINDA SHIPPING (HONG KONG) LIMITED,6.3,2025/05/13 13:41,SELA
V7A5992,SAWASDEE CAPELLA,CONTAINER,MARSHALL ISLANDS,KWANGYANG,SINOKOR HONGKONG CO LIMITED,9.4,2025/05/13 15:35,KC10
9MWL9,NYLEX 1,CHEMICAL,MALAYSIA,"DONGGUAN, GD",GULF AGENCY CO (HK) LTD,5.1,2025/05/13 18:09,SLA
BOQW6,ZHONG TUO FU XING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"ZHUHAI, GD",OCEAN BASE CO LTD,7.3,2025/05/13 18:29,SWLA
5IM998,GENESIS 168,GENERAL / HEAVY LIFT CARGO,UNITED REPUBLIC OF TANZANIA,"OTHER, VIETNAM",HONGYU SHIPPING (HK) LIMITED,4.2,2025/05/13 18:39,CMTY
