CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
V2HL7,BF TIGER,CONTAINER,ANTIGUA & BARBUDA,"LIANYUNGANG, JS",SINOTRANS (HK) SHIPPING LTD,11.1,2025/05/13 18:41,KC18
PJF13,JIANXIN PHOENIX,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,ST. MAARTEN,"OTHER, CHINA (COAST)",MINDA SHIPPING (HONG KONG) LIMITED,6,2025/05/13 18:45,SWLA
BOCJ,BAI AN HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,GUANGZHOU,PENAVICO (HONG KONG) LIMITED,8.03,2025/05/13 18:45,SELA
9V7808,EVER WISH,CONTAINER,SINGAPORE,GUANGZHOU,EVERGREEN MARINE (HONG KONG) LTD,5.8,2025/05/13 18:47,SELA
3FMG7,TEXAS TRIUMPH,CONTAINER,PANAMA,KAOHSIUNG,EVERGREEN MARINE (HONG KONG) LTD,12.8,2025/05/13 18:56,KC8
3WLO9,DAI TAY DUONG 25,GENERAL / HEAVY LIFT CARGO,VIETNAM,GUANGZHOU,Y & W SHIPPING COMPANY LIMITED,6,2025/05/13 19:04,SWLA
HONT,HARBOUR WELL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"SHANWEI, GD",OCEAN BASE CO LTD,6.7,2025/05/13 19:21,SELA
BPOZ2,GUO JIA NENG YUAN 822,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"ZHUHAI, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",7.9,2025/05/13 19:29,SWLA
9V7854,WAN HAI 369,CONTAINER,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,9.4,2025/05/13 19:37,KC6
3FCV7,DAMPIER MARU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"OTHER, AUSTRALIA",TAISHIP DEVELOPMENT LTD,17.98,2025/05/13 19:38,SELA
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,"ZHUHAI, GD",CONCORD MARINE LIMITED,7,2025/05/13 20:59,SWLA
BLIG,YM HARMONY,CONTAINER,"TAIWAN, CHINA",KAOHSIUNG,YANG MING LINE (HONG KONG) LTD,8.5,2025/05/13 20:59,KC14
9V8143,OCEAN FEATHER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,"OTHER, CHINA (COAST)",PENAVICO (HONG KONG) LIMITED,6.3,2025/05/13 22:04,SWLA
DSOA9,KMTC SINGAPORE,CONTAINER,REPUBLIC OF KOREA,"SHEKOU, SHENZHEN",KMTC (HK) CO LIMITED,9.4,2025/05/13 22:24,KC12
V7A7429,ONSAN CHEMI ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MARSHALL ISLANDS,"QUANZHOU, FJ",GULF AGENCY CO (HK) LTD,5.2,2025/05/13 22:31,SLA
VREU8,SC LIAONING,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA","ZHUHAI, GD",GULF AGENCY CO (HK) LTD,8.7,2025/05/13 23:02,SHELL
A8VG2,GSL AFRICA,CONTAINER,LIBERIA,LAEM CHABANG,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,10.7,2025/05/13 23:14,KC18
A8SN5,ANL WAIKATO ,CONTAINER,LIBERIA,"NINGBO, ZJ",CMA CGM (HONG KONG) LIMITED,10.7,2025/05/13 23:41,KC7
3E8804,ZHONG LIAN 8 ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"PUTIAN, FJ",E & M AGENCY LIMITED,7,2025/05/13 23:50,SWLA
VRLN2,SITC HAKATA,CONTAINER,"HONG KONG, CHINA","SHEKOU, SHENZHEN",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,8.2,2025/05/14 00:00,SELA
VROS2,MILD TUNE,CONTAINER,"HONG KONG, CHINA","NANSHA, PANYU",OCEANLINKS MARINE LIMITED,7.8,2025/05/14 00:06,CMTY
BQMV,FU LIAN,GENERAL / HEAVY LIFT CARGO,CHINA,HAIPHONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,6.4,2025/05/14 00:19,KC7
H3GB,JINYUNHE,CONTAINER,PANAMA,HAIPHONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,6.8,2025/05/14 00:39,KC14
VRWN4,OOCL SAN FRANCISCO,CONTAINER,"HONG KONG, CHINA",KAOHSIUNG,OOCL HONG KONG BRANCH,10.3,2025/05/14 00:40,KC
3E3333,ORIENTAL LUCK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,OITA,VEROSA AGENCY LIMITED,7,2025/05/14 00:59,SELA
C4GS2,AGIOS IOANNIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"ZHANJIANG, GD",GRANDFAME SHIP MANAGEMENT LTD,6.52,2025/05/14 01:44,SWLA
VRUN4,ONE AMAZON,CONTAINER,"HONG KONG, CHINA",SINGAPORE,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,13.2,2025/05/14 01:44,KC5
5LFU7,WAN HAI 177,CONTAINER,LIBERIA,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,8.6,2025/05/14 01:58,KC9
2BOW3,COSCO FELIXSTOWE,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,"YANTIAN, GD",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,11.2,2025/05/14 02:31,KC11
9WUY7,HARBOUR HORIZON,CONTAINER,MALAYSIA,"NANSHA, PANYU",HARBOUR-LINK LINES LIMITED ,8,2025/05/14 02:34,SELA
H3YG,UNI-PREMIER,CONTAINER,PANAMA,KAOHSIUNG,EVERGREEN MARINE (HONG KONG) LTD,8.8,2025/05/14 03:08,KC
V7CP9,SEA PLUTO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"NANSHA, PANYU",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,8.15,2025/05/14 03:27,NLA
3FKX4,SEA GLORY II,RORO/REEFER CARRIER,PANAMA,GENERAL SANTOS,"SEACON SHIPMANAGE (HK) CO., LIMITED",9,2025/05/14 04:02,SELA
9V9926,APL MEXICO CITY,CONTAINER,SINGAPORE,ZHOUSHAN,CMA CGM (HONG KONG) LIMITED,12.4,2025/05/14 04:09,SWLA
3E5147,SEA MAPLE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"FANGCHENG, GX",CGW LOGISTICS CO LIMITED,7.5,2025/05/14 04:16,SWLA
VRIH4,JOSCO CHANGZHOU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","GAOLAN, ZHUHAI",CONCORD MARINE LIMITED,6.5,2025/05/14 05:05,SWLA
3E5405,QIAN RUN,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, CHINA (COAST)",TEXCO MARINE AGENCY LIMITED,7.5,2025/05/14 05:08,SWLA
V7A6868,CHRISEA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"SHANWEI, GD",SHK AGENCY LIMITED,9,2025/05/14 05:28,SELA
VRCY6,SEASPAN YINGKOU,CONTAINER,"HONG KONG, CHINA","NINGBO, ZJ",EVERGREEN MARINE (HONG KONG) LTD,9.2,2025/05/14 05:32,KC10
3EDG8,ZHIDA 6,GENERAL / HEAVY LIFT CARGO,PANAMA,DUMAI,PENAVICO (HONG KONG) LIMITED,7.6,2025/05/14 05:53,SWLA
