CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
BODJ5,ZHONG XIN TUO 5,TUG,2025/05/13 06:30,CHINA,"SHEKOU, SHENZHEN",UNKNOWN AGENT,
A8VR3,X-PRESS BARDSEY,CONTAINER,2025/05/13 06:30,LIBERIA,"SHEKOU, SHENZHEN",BEN LINE AGENCIES (HK) LTD,RCVD
OWYZ2,MARGRETHE MAERSK,CONTAINER,2025/05/13 06:30,DENMARK,"YANTIAN, SHENZHEN",PENAVICO (HONG KONG) LIMITED,RCVD
3E2012,EVER ALP,CONTAINER,2025/05/13 07:00,PANAMA,"YANTIAN, SHENZHEN",EVERGREEN MARINE (HONG KONG) LTD,RCVD
S6ST,KOTA RATU,CONTAINER,2025/05/13 07:00,SINGAPORE,KOROR,PACIFIC INTERNATIONAL LINES (HK) LTD,RCVD
8649,ZHONG XIN TUO 1,TUG,2025/05/13 07:30,CHINA,"YANTIAN, GD",UNKNOWN AGENT,
H9UW,MAERSK ENSENADA,CONTAINER,2025/05/13 07:30,PANAMA,"SHEKOU, SHENZHEN",TRANSIT AGENT,RCVD
VRVJ5,ZIM TOPAZ,CONTAINER,2025/05/13 08:00,"HONG KONG, CHINA","YANTIAN, SHENZHEN",TRANSIT AGENT,RCVD
9LU2481,LIAN YUN 9,GENERAL / HEAVY LIFT CARGO,2025/05/13 08:00,SIERRA LEONE,TANJUNG PANDANG,BRIGHT CAPITAL SHIPPING CO LIMITED,RCVD
2CWA7, EAGLE HANOVER,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/13 08:00,ISLE OF MAN,BRISBANE,TINEKEN SHIPPING LIMITED,RCVD
5LES7,EVER ORIGIN,CONTAINER,2025/05/13 09:00,LIBERIA,HO CHI MINH CITY,EVERGREEN MARINE (HONG KONG) LTD,RCVD
BPAR,XIN QING DAO,CONTAINER,2025/05/13 09:00,CHINA,LAEM CHABANG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
9V7978,EVER FUTURE,CONTAINER,2025/05/13 09:00,SINGAPORE,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,RCVD
5LKO9,LITTLE DOLPHIN,CONTAINER,2025/05/13 09:30,LIBERIA,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
VRZK9,OOCL HAMBURG,CONTAINER,2025/05/13 09:30,"HONG KONG, CHINA","CHIWAN, SHENZHEN",OOCL HONG KONG BRANCH,RCVD
V7PC9,THOMAS SELMER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 09:30,MARSHALL ISLANDS,"CHIWAN, SHENZHEN","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
5LSY9,MSC VIOLA,CONTAINER,2025/05/13 10:00,LIBERIA,"NANSHA, PANYU",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
VRLN2,SITC HAKATA,CONTAINER,2025/05/13 10:00,"HONG KONG, CHINA","NINGBO, ZJ",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
ZCDX2,METHANE NILE EAGLE,LIQUIFIED NATURAL GAS TANKER,2025/05/13 10:00,BERMUDA,"DAMPIER, AUSTRALIA",TRANSIT AGENT,RCVD
9HA5189,CMA CGM ALASKA,CONTAINER,2025/05/13 10:00,MALTA,"NINGBO, ZJ",CMA CGM (HONG KONG) LIMITED,RCVD
5LLF5,ZIM ARIES,CONTAINER,2025/05/13 10:00,LIBERIA,HAIPHONG,TRANSIT AGENT,RCVD
S6AS8,WAN HAI 502,CONTAINER,2025/05/13 10:00,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,RCVD
D7HU,GRACE BRIDGE,CONTAINER,2025/05/13 10:30,REPUBLIC OF KOREA,"SHEKOU, SHENZHEN",SINOKOR HONGKONG CO LIMITED,RCVD
VRUY3,ZIM MOUNT RAINIER,CONTAINER,2025/05/13 11:00,"HONG KONG, CHINA","YANTIAN, SHENZHEN",TRANSIT AGENT,RCVD
3E2004,BO YANG TUO ZHAN,GENERAL / HEAVY LIFT CARGO,2025/05/13 12:00,PANAMA,"OTHER, JAPAN",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
V7A4842,TS KWANGYANG,CONTAINER,2025/05/13 12:00,MARSHALL ISLANDS,"NANSHA, PANYU",T.S. LINES LIMITED,RCVD
V7A5992,SAWASDEE CAPELLA,CONTAINER,2025/05/13 14:30,MARSHALL ISLANDS,KWANGYANG,SINOKOR HONGKONG CO LIMITED,RCVD
3E4771,HOANG ANH 03,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 16:00,PANAMA,"ZHUHAI, GD",Y & W SHIPPING COMPANY LIMITED,RCVD
3EBC5,MSC LUCY,CONTAINER,2025/05/13 16:30,PANAMA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
BOCJ,BAI AN HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 17:00,CHINA,GUANGZHOU,PENAVICO (HONG KONG) LIMITED,RCVD
V2HL7,BF TIGER,CONTAINER,2025/05/13 17:00,ANTIGUA & BARBUDA,"LIANYUNGANG, JS",SINOTRANS (HK) SHIPPING LTD,RCVD
VROH9,YM WONDROUS,CONTAINER,2025/05/13 17:00,"HONG KONG, CHINA","NINGBO, ZJ",YANG MING LINE (HONG KONG) LTD,RCVD
3FMG7,TEXAS TRIUMPH,CONTAINER,2025/05/13 17:30,PANAMA,KAOHSIUNG,EVERGREEN MARINE (HONG KONG) LTD,RCVD
9V7854,WAN HAI 369,CONTAINER,2025/05/13 18:00,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,RCVD
9VFX9,KOTA LAMBANG,CONTAINER,2025/05/13 18:00,SINGAPORE,LAEM CHABANG,TRANSIT AGENT,RCVD
5IM998,GENESIS 168,GENERAL / HEAVY LIFT CARGO,2025/05/13 18:30,UNITED REPUBLIC OF TANZANIA,"OTHER, VIETNAM",HONGYU SHIPPING (HK) LIMITED,RCVD
9HA5914,INTERASIA AMPLIFY,CONTAINER,2025/05/13 18:30,MALTA,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
BPOZ2,GUO JIA NENG YUAN 822,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 19:00,CHINA,"ZHUHAI, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
BLIG,YM HARMONY,CONTAINER,2025/05/13 20:00,"TAIWAN, CHINA",KAOHSIUNG,YANG MING LINE (HONG KONG) LTD,RCVD
VRWH6,CA SAIGON,CONTAINER,2025/05/13 21:00,"HONG KONG, CHINA","NANSHA, PANYU",BEN LINE AGENCIES (HK) LTD,RCVD
D7HI,HYUNDAI INTEGRAL,CONTAINER,2025/05/13 21:00,REPUBLIC OF KOREA,BUSAN,HMM (HONG KONG) LIMITED,RCVD
3FCV7,DAMPIER MARU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 21:00,PANAMA,"OTHER, AUSTRALIA",TAISHIP DEVELOPMENT LTD,RCVD
BOQW6,ZHONG TUO FU XING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 21:00,CHINA,"ZHUHAI, GD",OCEAN BASE CO LTD,RCVD
C4GS2,AGIOS IOANNIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 21:30,CYPRUS,"ZHANJIANG, GD",GRANDFAME SHIP MANAGEMENT LTD,RCVD
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,2025/05/13 22:00,PANAMA,"ZHUHAI, GD",CONCORD MARINE LIMITED,RCVD
H3YG,UNI-PREMIER,CONTAINER,2025/05/13 22:00,PANAMA,KAOHSIUNG,EVERGREEN MARINE (HONG KONG) LTD,RCVD
VRSK4,COSCO SHIPPING LOTUS,CONTAINER,2025/05/13 22:00,"HONG KONG, CHINA","NINGBO, ZJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
