CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
S9Z20,HOANG TRIEU 99,GENERAL / HEAVY LIFT CARGO,SAO TOME & PRINCIPE,"CAILAN, VIETNAM",CGW LOGISTICS CO LIMITED,4.3,2025/05/09 18:05,WA1
5BQU6,MSC WEST V,CONTAINER,CYPRUS,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,6.7,2025/05/09 18:51,SELA
V7A7426,TS QINGDAO,CONTAINER,MARSHALL ISLANDS,LAEM CHABANG,T.S. LINES LIMITED,9.3,2025/05/09 19:05,KC10
BPNF,XIN ZHANG ZHOU,CONTAINER,CHINA,"NINGBO, ZJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,10.9,2025/05/09 19:45,KC14
BORJ2,HONG QING,LIQUIFIED PETROLEUM GAS TANKER,CHINA,"OTHER, MALAYSIA",INCHCAPE SHIPPING SERVICES (HK) LTD,5.6,2025/05/09 19:50,EMTY
9V9570,NINGBO INNOVATION,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,GUANGZHOU,SHK AGENCY LIMITED,9,2025/05/09 20:14,SWLA
TRBZ3,FANG ZHOU 23 ,CONTAINER,GABON,"SHENZHEN, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",2.9,2025/05/09 20:18,SWLA
3FTB3,EVER CLEAR,CONTAINER,PANAMA,HO CHI MINH CITY,EVERGREEN MARINE (HONG KONG) LTD,6.4,2025/05/09 20:52,WA2
3E5221,HAO HAI JI YUN,CONTAINER,PANAMA,QINGDAO,"UNITRANS AGENCY HONG KONG CO., LIMITED",9.2,2025/05/09 21:38,SELA
9V6516,WAN HAI 295,CONTAINER,SINGAPORE,DAVAO,HYALINE SHIPPING (HK) CO LTD,8.8,2025/05/09 22:23,KC9
3FEH3,IKAN BELANAK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"SHANWEI, GD",SK SHIPPING LIMITED,7.1,2025/05/09 22:43,YLD
9V3220,INTERASIA VISION,CONTAINER,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,9.1,2025/05/09 22:56,TSK
V3QT6,ACE GOLD,GENERAL / HEAVY LIFT CARGO,BELIZE,"QINZHOU, GX",Y & W SHIPPING COMPANY LIMITED,6,2025/05/09 23:09,SWLA
A8TT4,RIO KOBE,CONTAINER,LIBERIA,"NINGBO, ZJ",PENAVICO (HONG KONG) LIMITED,10.5,2025/05/09 23:26,SELA
V7A2823,TS SINGAPORE,CONTAINER,MARSHALL ISLANDS,"SHANTOU, GD",CMA CGM ASIA SHIPPING PTE. LTD.,12,2025/05/10 00:29,LCS1
9V7821,EVER VERSE,CONTAINER,SINGAPORE,GUANGZHOU,EVERGREEN MARINE (HONG KONG) LTD,8,2025/05/10 00:42,SWLA
3FDM5,HOUYOSHI EXPRESS II,CHEMICAL,PANAMA,"HUANGPU, GD",VASTON SHIPPING AGENCY LIMITED,7.6,2025/05/10 00:43,PAFF
V7A7350,TS MELBOURNE,CONTAINER,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",T.S. LINES LIMITED,11,2025/05/10 00:48,SELA
T8A4996,DATU HONOR,CONTAINER,REPUBLIC OF PALAU,HUIZHOUGANG,OCEAN BASE CO LTD,8,2025/05/10 00:50,SWLA
V3WR4,XIN ZHONG RUI 7,GENERAL / HEAVY LIFT CARGO,BELIZE,HONGAI,BRIGHT CAPITAL SHIPPING CO LIMITED,5.8,2025/05/10 01:05,SWLA
3EIC,XINDE HONOR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,GUANGZHOU,SGS HONG KONG LIMITED,7,2025/05/10 01:27,SELA
3FQL8,HAYABUSA,GENERAL / HEAVY LIFT CARGO,PANAMA,"HUANGPU, GD",NS UNITED SHIPPING (HK) CO LIMITED,5.5,2025/05/10 01:46,SWLA
9VJQ2,PANJA BHUM,CONTAINER,SINGAPORE,HAIPHONG,SINOTRANS (HK) SHIPPING LTD,8.1,2025/05/10 02:15,CMTY
3E7203,GOLDEN FOREST,RORO/REEFER CARRIER,PANAMA,JEBEL ALI,E & M AGENCY LIMITED,5,2025/05/10 02:47,SWLA
9V7683,WAN HAI 176,CONTAINER,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,9.1,2025/05/10 02:51,KC10
3FAD8,BAI CHAY BRIDGE,CONTAINER,PANAMA,"XIAMEN, FJ",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,9.5,2025/05/10 03:23,KC7
V7AM3,MIYAMA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,NEWCASTLE,WELLS MARINE AGENCIES,14,2025/05/10 03:33,SELA
9V7853,WAN HAI 368,CONTAINER,SINGAPORE,YOKOHAMA,HYALINE SHIPPING (HK) CO LTD,9.9,2025/05/10 03:59,WA2
V7A7436,TS JOHOR,CONTAINER,MARSHALL ISLANDS,KAOHSIUNG,T.S. LINES LIMITED,8.3,2025/05/10 04:05,KC7
9V7392,WAN HAI 360,CONTAINER,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,10.9,2025/05/10 06:37,KC6
3EEF9,EVER CROWN,CONTAINER,PANAMA,"SHEKOU, SHENZHEN",EVERGREEN MARINE (HONG KONG) LTD,6.45,2025/05/10 07:06,KC8
BVND5,XIN BIN ZHOU,CONTAINER,CHINA,"SHANTOU, GD",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,8.9,2025/05/10 07:19,KC2
BPBC,XIN CHI WAN,CONTAINER,CHINA,QINGDAO,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,13.6,2025/05/10 07:37,KC12
D5IZ9,SPECTRUM N,CONTAINER,LIBERIA,MANILA,OOCL HONG KONG BRANCH,8.2,2025/05/10 07:51,KC10
VRNW3,NEW PEACE,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",ZHOUSHAN,WALLEM SHIPPING (HK) LTD,11,2025/05/10 08:19,SLA
9LU2780,YONG SHUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SIERRA LEONE,"OTHER, CHINA (COAST)","UNITRANS AGENCY HONG KONG CO., LIMITED",6.9,2025/05/10 08:26,SELA
OXCQ2,SAN ANTONIO MAERSK,CONTAINER,DENMARK,SINGAPORE,PENAVICO (HONG KONG) LIMITED,12,2025/05/10 08:29,KC18
H3UD,AKANE,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,MAILIAO,GULF AGENCY CO (HK) LTD,11.9,2025/05/10 09:24,CTX
V7A2845,STAR FRONTIER,CONTAINER,MARSHALL ISLANDS,INCHEON,NAMSUNG SHIPPING HONG KONG LIMITED,6.8,2025/05/10 09:53,KC4
DSIJ9,WOO JONG,"TANKER (CRUDE,FUEL,DIESEL,LUB)",REPUBLIC OF KOREA,"OTHER, CHINA (COAST)",PENAVICO (HONG KONG) LIMITED,6.3,2025/05/10 09:58,SINO
VRWJ6,JIAN YANG HUA HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","OTHER, VIETNAM",CGW LOGISTICS CO LIMITED,4,2025/05/10 10:29,SWLA
ELXX8,SANTA CRUZ I,"TANKER (CRUDE,FUEL,DIESEL,LUB)",LIBERIA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,13.1,2025/05/10 10:35,EMTY
9V7396,WAN HAI A01,CONTAINER,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,9.5,2025/05/10 11:01,KC9
3E6776,LONG SHENG 16,GENERAL / HEAVY LIFT CARGO,PANAMA,"BEIHAI, SHACHENG, GX",EAST HARBOUR NAVIGATION CO LTD,4.1,2025/05/10 11:07,PSSA
5LAR7,MSC SHAHAR,CONTAINER,LIBERIA,SYDNEY,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,8.6,2025/05/10 11:24,KC1
3FMB6,TRANS HARMONY 1,CAR CARRIER,PANAMA,NAGOYA,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,8.8,2025/05/10 12:02,KC16
ZCDU9,PIANO LAND,PASSENGER,BERMUDA,"OTHER, JAPAN",LEAGUER SHIPPING LIMITED,8.3,2025/05/10 13:05,KTCT
3EWL5,COMO GLORY ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"TIANJIN XINGANG, TJ",GULF AGENCY CO (HK) LTD,7,2025/05/10 13:10,SELA
BOAM7,ZHONG GU DONG HAI,CONTAINER,CHINA,OPEN SEA,PENAVICO (HONG KONG) LIMITED,6.6,2025/05/10 15:49,KC6
VRUW7,CUL LAEMCHABANG,CONTAINER,"HONG KONG, CHINA",ZHOUSHAN,"UNITRANS AGENCY HONG KONG CO., LIMITED",8.2,2025/05/10 16:08,SELA
V7QK4,ULTRA JAGUAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,ABBOT POINT,CONCORD MARINE LIMITED,14.33,2025/05/10 16:35,SELA
D5QU4,TORRES STRAIT,CONTAINER,LIBERIA,CAGAYAN DE ORO,PENAVICO (HONG KONG) LIMITED,9.15,2025/05/10 16:51,KC18
9VCB4,XH DEEP COVER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,HUIZHOUGANG,GRANDFAME SHIP MANAGEMENT LTD,7.3,2025/05/10 17:10,SELA
VRBH9,SEASPAN SYDNEY,CONTAINER,"HONG KONG, CHINA","NINGBO, ZJ",EVERGREEN MARINE (HONG KONG) LTD,9.3,2025/05/10 17:23,KC10
9V6499,WAN HAI 328,CONTAINER,SINGAPORE,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,10.2,2025/05/10 17:33,KC8
3ELS,GREEN CLARITY,CONTAINER,PANAMA,"ZHANJIANG, GD",EVERGREEN MARINE (HONG KONG) LTD,9,2025/05/10 17:43,WA3
3EVM4,KLARA,CHEMICAL,PANAMA,GUANGZHOU,S5 ASIA LIMITED,7,2025/05/10 19:03,SLA
BPRY,HUA HAI 21,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,YANGPU,VASTON SHIPPING AGENCY LIMITED,11.7,2025/05/10 20:05,SINO
D5BL2,LITO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"HUANGPU, GD",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,7.12,2025/05/10 20:05,SWLA
9V7865,WAN HAI 373,CONTAINER,SINGAPORE,CAT LAI PORT,HYALINE SHIPPING (HK) CO LTD,9.2,2025/05/10 20:16,KC7
V7A2823,TS SINGAPORE,CONTAINER,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,12,2025/05/10 20:35,KC12
XVEQ7,HAIAN LINK,CONTAINER,VIETNAM,HAIPHONG,MEGATOP AGENCY LIMITED,7.3,2025/05/10 20:39,KC10
TJM5224,HALCYON,CONTAINER,CAMEROON,INCHEON,YIU LIAN DOCKYARDS LTD,4.5,2025/05/10 21:14,CMTY
5LCM6,MSC TARA III,CONTAINER,LIBERIA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,8.6,2025/05/10 22:19,KC2
XVOV,SAI GON GAS,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,"DONGGUAN, GD",BEN LINE AGENCIES (HK) LTD,4.8,2025/05/10 22:20,SLA
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MALTA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,10.7,2025/05/10 23:40,SLA
VRTE8,CUL HAIPHONG,CONTAINER,"HONG KONG, CHINA","SHANTOU, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",7.4,2025/05/10 23:58,SELA
9V6513,WAN HAI 293,CONTAINER,SINGAPORE,CAT LAI PORT,HYALINE SHIPPING (HK) CO LTD,9.7,2025/05/11 00:13,KC6
5LFU8,WAN HAI 178,CONTAINER,LIBERIA,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,8.5,2025/05/11 00:46,KC6
5LCT5,AS ANNE,CONTAINER,LIBERIA,TAICHUNG,OOCL HONG KONG BRANCH,9.2,2025/05/11 01:16,KC11
5LGV4,YM TRILLION,CONTAINER,LIBERIA,KAOHSIUNG,YANG MING LINE (HONG KONG) LTD,10.5,2025/05/11 01:47,KC5
V7IL7,BANASTAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"OTHER, CHINA (COAST)",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,7,2025/05/11 02:17,SWLA
2BOK5,COSCO ROTTERDAM,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,"XIAMEN, FJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,11.3,2025/05/11 02:35,KC
C6EX3,IFESTOS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,BAHAMAS,GUANGZHOU,OCEAN DRAGON AGENCY COMPANY LIMITED,7.4,2025/05/11 03:00,SELA
BKLH,EVER BEADY,CONTAINER,"TAIWAN, CHINA",LAEM CHABANG,EVERGREEN MARINE (HONG KONG) LTD,10.8,2025/05/11 03:13,KC10
BPPH3,GUO SHUN 28,GENERAL / HEAVY LIFT CARGO,CHINA,"ZHENJIANG, JS",CGW LOGISTICS CO LIMITED,8.6,2025/05/11 04:07,SWLA
D5UF8,ESL WALRUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"ZHUHAI, GD",PENAVICO (HONG KONG) LIMITED,8.5,2025/05/11 04:49,SELA
3FAT7,JIAN RUI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, CHINA (COAST)",EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,5.8,2025/05/11 05:42,SWLA
5LEI2,CHINOOK OLDENDORFF,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"FANGCHENG, GX",BEN LINE AGENCIES (HK) LTD,8,2025/05/11 06:01,SELA
