CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
3WYN7,GREEN PACIFIC,CONTAINER,2025/05/12 06:30,VIETNAM,"SHEKOU, SHENZHEN",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
VRFU9,OOCL WASHINGTON,CONTAINER,2025/05/12 06:30,"HONG KONG, CHINA","SHEKOU, SHENZHEN",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
9HA5839,CNC PUMA,CONTAINER,2025/05/12 07:00,MALTA,"OTHER, VIETNAM",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
VRUB8,EVER ORDER,CONTAINER,2025/05/12 07:00,"HONG KONG, CHINA","FUQING, FJ",EVERGREEN MARINE (HONG KONG) LTD,RCVD
5BEB4,MARATHASSA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 07:00,CYPRUS,NEWCASTLE,WELLS MARINE AGENCIES,RCVD
H8RY,MSC OLIVER,CONTAINER,2025/05/12 07:00,PANAMA,VUNGTAU,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
5LNU2,SEA STAR 1,CONTAINER,2025/05/12 07:30,LIBERIA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
BRWT,GUANG MAO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 08:00,CHINA,GUANGZHOU,SGS HONG KONG LIMITED,RCVD
VRRH2,FOREVER GLORY,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/12 08:00,"HONG KONG, CHINA","DALIAN, LN",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,RCVD
BPNU3,ZHONG XIN TUO 6,TUG,2025/05/12 08:00,CHINA,"SHEKOU, SHENZHEN",UNKNOWN AGENT,
3E4662,GT HONOR,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/12 08:00,PANAMA,ZHANGZHOU,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,RCVD
5BCK2,MEGALOHARI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 08:00,CYPRUS,"CHAOZHOU, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
VRUY3,ZIM MOUNT RAINIER,CONTAINER,2025/05/12 08:00,"HONG KONG, CHINA",SAVANNAH,TRANSIT AGENT,RCVD
S9Z8,HOANG TRIEU 39,GENERAL / HEAVY LIFT CARGO,2025/05/12 08:00,SAO TOME & PRINCIPE,"OTHER, VIETNAM",EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,RCVD
5LCM6,MSC TARA III,CONTAINER,2025/05/12 09:00,LIBERIA,OPEN SEA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
BOQI4,XIN AO PU TUO HAO,LIQUIFIED NATURAL GAS TANKER,2025/05/12 09:00,CHINA,"SHENZHEN, GD",TRANSIT AGENT,RCVD
OYLF2,NIMTOFTE MAERSK,CONTAINER,2025/05/12 09:30,DENMARK,HO CHI MINH CITY,PENAVICO (HONG KONG) LIMITED,RCVD
BG3721,JIN HAE FA NO 26,FISHING,2025/05/12 09:30,"TAIWAN, CHINA",KAOHSIUNG,ISM SHIPPING AGENT COMPANY,
3E4003,SUNFLYTE,CHEMICAL,2025/05/12 09:30,PANAMA,"SHEKOU, SHENZHEN",OCEAN BASE CO LTD,RCVD
8649,ZHONG XIN TUO 1,TUG,2025/05/12 09:30,CHINA,"YANTIAN, GD",UNKNOWN AGENT,
3ELS,GREEN CLARITY,CONTAINER,2025/05/12 09:30,PANAMA,"SHEKOU, SHENZHEN",EVERGREEN MARINE (HONG KONG) LTD,RCVD
9V7936,DAPENG PRINCESS,LIQUIFIED NATURAL GAS TANKER,2025/05/12 10:00,SINGAPORE,"OTHER, MALAYSIA",TRANSIT AGENT,RCVD
3FPF4,SAZANKA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 10:00,PANAMA,OPEN SEA,MOL HONG KONG LIMITED,RCVD
9V2252,CHANYA NAREE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 10:00,SINGAPORE,"OTHER, VIETNAM","SEACON SHIPMANAGE (HK) CO., LIMITED",RCVD
3E4026,STR LUCKY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 10:00,PANAMA,MURORAN,GREEN ISLAND SHIPPING AGENCY LTD,RCVD
XVJV7,AMBER,LIQUIFIED PETROLEUM GAS TANKER,2025/05/12 10:00,VIETNAM,HAIPHONG,BEN LINE AGENCIES (HK) LTD,RCVD
9V6513,WAN HAI 293,CONTAINER,2025/05/12 10:30,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
VRTB6,SEAL ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 12:00,"HONG KONG, CHINA",KAOHSIUNG,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,RCVD
9LU2481,LIAN YUN 9,GENERAL / HEAVY LIFT CARGO,2025/05/12 12:00,SIERRA LEONE,TANJUNG PANDANG,BRIGHT CAPITAL SHIPPING CO LIMITED,RCVD
9V6512,WAN HAI 292,CONTAINER,2025/05/12 12:30,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
VRFT7,DAPENG STAR,LIQUIFIED NATURAL GAS TANKER,2025/05/12 13:00,"HONG KONG, CHINA","YANTIAN, GD",TRANSIT AGENT,RCVD
5LKO9,LITTLE DOLPHIN,CONTAINER,2025/05/12 13:00,LIBERIA,CAGAYAN DE ORO,CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
9HA5914,INTERASIA AMPLIFY,CONTAINER,2025/05/12 13:00,MALTA,"NINGBO, ZJ",HYALINE SHIPPING (HK) CO LTD,RCVD
A8VR3,X-PRESS BARDSEY,CONTAINER,2025/05/12 14:00,LIBERIA,"NINGBO, ZJ",BEN LINE AGENCIES (HK) LTD,RCVD
D5SI8,MSC SYDNEY VI,CONTAINER,2025/05/12 14:00,LIBERIA,"YANTIAN, GD",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
VRVJ5,ZIM TOPAZ,CONTAINER,2025/05/12 14:00,"HONG KONG, CHINA","DACHAN, GD",TRANSIT AGENT,RCVD
3E5913,YAN GANG 2,GENERAL / HEAVY LIFT CARGO,2025/05/12 14:00,PANAMA,"QINZHOU, GX",CGW LOGISTICS CO LIMITED,RCVD
3E6120,HARMONY 2,GENERAL / HEAVY LIFT CARGO,2025/05/12 14:00,PANAMA,"ZHANJIANG, GD",CGW LOGISTICS CO LIMITED,RCVD
