CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
9V5866,TAURUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 14:00,SINGAPORE,QINGDAO,INCHCAPE SHIPPING SERVICES (HK) LTD,RCVD
9V8378,INTERASIA ENHANCE,CONTAINER,2025/05/12 14:00,SINGAPORE,"ZHANJIANG, GD",HYALINE SHIPPING (HK) CO LTD,RCVD
DSOA9,KMTC SINGAPORE,CONTAINER,2025/05/12 14:00,REPUBLIC OF KOREA,LAEM CHABANG,KMTC (HK) CO LIMITED,RCVD
5BRW6,NORDBALTIC,CONTAINER,2025/05/12 15:00,CYPRUS,"YANTIAN, GD",PENAVICO (HONG KONG) LIMITED,RCVD
H9UW,MAERSK ENSENADA,CONTAINER,2025/05/12 15:00,PANAMA,"NINGBO, ZJ",TRANSIT AGENT,RCVD
9V5783,WAN HAI 175,CONTAINER,2025/05/12 15:00,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
A8OS5,YM EFFICIENCY,CONTAINER,2025/05/12 15:00,LIBERIA,"NINGBO, ZJ",YANG MING LINE (HONG KONG) LTD,RCVD
D5FG7,DENEB,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 16:00,LIBERIA,"OTHER, INDONESIA",SGS HONG KONG LIMITED,RCVD
V7KN6,ZIRCON,CHEMICAL,2025/05/12 16:00,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",OCEANUS MARITIME COMPANY LIMITED,RCVD
9VFL3,ACX DIAMOND,CONTAINER,2025/05/12 16:00,SINGAPORE,KEELUNG,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,RCVD
VRZK9,OOCL HAMBURG,CONTAINER,2025/05/12 16:00,"HONG KONG, CHINA","XIAMEN, FJ",OOCL HONG KONG BRANCH,RCVD
D5WB7,MANET,CONTAINER,2025/05/12 16:30,LIBERIA,PORT KLANG,OOCL HONG KONG BRANCH,RCVD
V7A5715,TS HOCHIMINH,CONTAINER,2025/05/12 16:30,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",T.S. LINES LIMITED,RCVD
VRWN5,JNS FRIENDSHIP,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 17:00,"HONG KONG, CHINA","ZHANGJIAGANG, JS",TRANSIT AGENT,RCVD
BFAH8,RUI NING 8,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 18:00,CHINA,"BAYUQUAN, LN",SK SHIPPING LIMITED,RCVD
3EBC5,MSC LUCY,CONTAINER,2025/05/12 18:00,PANAMA,"NINGBO, ZJ",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
VRMV2,YUEHAI STAR,CHEMICAL,2025/05/12 18:00,"HONG KONG, CHINA","DONGGUAN, GD",CGW LOGISTICS CO LIMITED,RCVD
3EJI7,ZAMBALES,RORO/REEFER CARRIER,2025/05/12 18:00,PANAMA,TAIPEI,EASTERN WORLDWIDE CO LTD,RCVD
9HA5817,CNC CHEETAH,CONTAINER,2025/05/12 19:00,MALTA,"LIANYUNGANG, JS",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
VRBK8,OSG BOSSTEC,CONTAINER,2025/05/12 20:00,"HONG KONG, CHINA","SHEKOU, SHENZHEN","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
D7VN,KMTC COLOMBO,CONTAINER,2025/05/12 21:00,REPUBLIC OF KOREA,KARACHI,KMTC (HK) CO LIMITED,RCVD
9HA5502,CMA CGM DIGNITY,CONTAINER,2025/05/12 21:00,MALTA,BUSAN,CMA CGM (HONG KONG) LIMITED,RCVD
3EZD3,MSC KATRINA,CONTAINER,2025/05/12 21:00,PANAMA,LAEM CHABANG,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
D7HP,HMM HOPE,CONTAINER,2025/05/12 22:00,REPUBLIC OF KOREA,"NINGBO, ZJ",TRANSIT AGENT,RCVD
VRWK3,COSCO SHIPPING CHILE,CONTAINER,2025/05/12 22:00,"HONG KONG, CHINA","NINGBO, ZJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
VRWW2,YI HUI LIAN RUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 22:00,"HONG KONG, CHINA","CAILAN, VIETNAM",SGS HONG KONG LIMITED,RCVD
3E8732,HUI FENG HAI 17,GENERAL / HEAVY LIFT CARGO,2025/05/12 23:00,PANAMA,"TIANJIN XINGANG, TJ",CGW LOGISTICS CO LIMITED,RCVD
3E5137,CHUNRONG 803,GENERAL / HEAVY LIFT CARGO,2025/05/12 23:00,PANAMA,"NANSHA, PANYU",CGW LOGISTICS CO LIMITED,RCVD
9V6494,WAN HAI 325,CONTAINER,2025/05/12 23:59,SINGAPORE,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,RCVD
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,2025/05/13 00:00,PANAMA,"SHANGHAI, SH",CONCORD MARINE LIMITED,RCVD
D7HU,GRACE BRIDGE,CONTAINER,2025/05/13 01:00,REPUBLIC OF KOREA,"NINGBO, ZJ",KONG HING AGENCY LTD,RCVD
BLHP,YM IMMENSE,CONTAINER,2025/05/13 02:00,"TAIWAN, CHINA",HO CHI MINH CITY,YANG MING LINE (HONG KONG) LTD,RCVD
HONT,HARBOUR WELL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 02:30,PANAMA,"SHANWEI, GD",OCEAN BASE CO LTD,RCVD
VRCY6,SEASPAN YINGKOU,CONTAINER,2025/05/13 03:00,"HONG KONG, CHINA","NINGBO, ZJ",EVERGREEN MARINE (HONG KONG) LTD,RCVD
PJF13,JIANXIN PHOENIX,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 03:00,ST. MAARTEN,"OTHER, CHINA (COAST)",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
9HA5466,CMA CGM HOPE,CONTAINER,2025/05/13 04:00,MALTA,"XIAMEN, FJ",CMA CGM (HONG KONG) LIMITED,RCVD
V7A2844,STAR EXPLORER,CONTAINER,2025/05/13 06:00,MARSHALL ISLANDS,INCHEON,NAMSUNG SHIPPING HONG KONG LIMITED,RCVD
9V6017,MAERSK XIAMEN,CONTAINER,2025/05/13 07:00,SINGAPORE,OPEN SEA,SINOTRANS (HK) SHIPPING LTD,RCVD
2CWA7, EAGLE HANOVER,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/13 08:00,ISLE OF MAN,BRISBANE,TINEKEN SHIPPING LIMITED,RCVD
VROH9,YM WONDROUS,CONTAINER,2025/05/13 09:00,"HONG KONG, CHINA","NINGBO, ZJ",YANG MING LINE (HONG KONG) LTD,RCVD
3E2004,BO YANG TUO ZHAN,GENERAL / HEAVY LIFT CARGO,2025/05/13 09:00,PANAMA,"OTHER, JAPAN",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
BPAR,XIN QING DAO,CONTAINER,2025/05/13 09:00,CHINA,LAEM CHABANG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
S6AS8,WAN HAI 502,CONTAINER,2025/05/13 10:00,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,RCVD
ZCDX2,METHANE NILE EAGLE,LIQUIFIED NATURAL GAS TANKER,2025/05/13 10:00,BERMUDA,"DAMPIER, AUSTRALIA",TRANSIT AGENT,RCVD
D7HI,HYUNDAI INTEGRAL,CONTAINER,2025/05/13 13:00,REPUBLIC OF KOREA,BUSAN,HMM (HONG KONG) LIMITED,RCVD
V2HL7,BF TIGER,CONTAINER,2025/05/13 17:00,ANTIGUA & BARBUDA,"LIANYUNGANG, JS",SINOTRANS (HK) SHIPPING LTD,RCVD
3E7431,HUI YUAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 18:00,PANAMA,HUIZHOUGANG,SGS HONG KONG LIMITED,RCVD
