CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
BPAR,XIN QING DAO,CONTAINER,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/13 18:31,KC12,"XIAMEN, FJ"
XVJV7,AMBER,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,BEN LINE AGENCIES (HK) LTD,2025/05/13 18:47,SLA,"DONGGUAN, GD"
9V6494,WAN HAI 325,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/13 19:41,KC6,KAOHSIUNG
5LES7,EVER ORIGIN,CONTAINER,LIBERIA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/13 19:54,KC7,"SHEKOU, SHENZHEN"
5IM998,GENESIS 168,GENERAL / HEAVY LIFT CARGO,UNITED REPUBLIC OF TANZANIA,HONGYU SHIPPING (HK) LIMITED,2025/05/13 20:08,CMTY,ANPING
VRUN6,ONE PARANA,CONTAINER,"HONG KONG, CHINA",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/13 20:44,KC2,SINGAPORE
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,CONCORD MARINE LIMITED,2025/05/13 21:01,SWLA,KAOHSIUNG
3WLO9,DAI TAY DUONG 25,GENERAL / HEAVY LIFT CARGO,VIETNAM,Y & W SHIPPING COMPANY LIMITED,2025/05/13 21:53,SWLA,OPEN SEA
OWYZ2,MARGRETHE MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,2025/05/13 21:57,KC19,TANJUNG PELEPAS
H3UD,AKANE,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,GULF AGENCY CO (HK) LTD,2025/05/13 22:26,EMTY,SINGAPORE
BOQW6,ZHONG TUO FU XING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,OCEAN BASE CO LTD,2025/05/13 23:01,SWLA,"OTHER, RUSSIAN"
OYLF2,NIMTOFTE MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,2025/05/13 23:12,NLA,"NANSHA, PANYU"
HONT,HARBOUR WELL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,OCEAN BASE CO LTD,2025/05/13 23:40,SELA,"OTHER, INDONESIA"
9MWL9,NYLEX 1,CHEMICAL,MALAYSIA,GULF AGENCY CO (HK) LTD,2025/05/13 23:56,SLA,LABUAN
V7A7429,ONSAN CHEMI ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MARSHALL ISLANDS,GULF AGENCY CO (HK) LTD,2025/05/14 00:38,SLA,LABUAN
PJF13,JIANXIN PHOENIX,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,ST. MAARTEN,MINDA SHIPPING (HONG KONG) LIMITED,2025/05/14 00:52,SWLA,VLADIVOSTOK
BPOZ2,GUO JIA NENG YUAN 822,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/14 01:06,SWLA,OPEN SEA
V7A5992,SAWASDEE CAPELLA,CONTAINER,MARSHALL ISLANDS,SINOKOR HONGKONG CO LIMITED,2025/05/14 01:22,KC10,SAIGON
