CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
BOCJ,BAI AN HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,PENAVICO (HONG KONG) LIMITED,2025/05/14 01:57,SELA,PORT HEDLAND
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MALTA,VASTON SHIPPING AGENCY LIMITED,2025/05/14 02:02,SINO,SINGAPORE
3E8804,ZHONG LIAN 8 ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,E & M AGENCY LIMITED,2025/05/14 02:49,SWLA,"OTHER, THAILAND"
9V7978,EVER FUTURE,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 03:23,KC10,"SHANGHAI, SH"
9V7808,EVER WISH,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 03:52,SELA,KAOHSIUNG
3E3333,ORIENTAL LUCK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,VEROSA AGENCY LIMITED,2025/05/14 03:53,SELA,"OTHER, VIETNAM"
9V9926,APL MEXICO CITY,CONTAINER,SINGAPORE,CMA CGM (HONG KONG) LIMITED,2025/05/14 04:12,SWLA,"NANSHA, PANYU"
BQMV,FU LIAN,GENERAL / HEAVY LIFT CARGO,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/14 04:34,KC7,QINGDAO
3FCV7,DAMPIER MARU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,TAISHIP DEVELOPMENT LTD,2025/05/14 04:37,SELA,"LIANYUNGANG, JS"
9V8143,OCEAN FEATHER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,PENAVICO (HONG KONG) LIMITED,2025/05/14 04:46,SWLA,"OTHER, PHILIPPINES"
VRLN2,SITC HAKATA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,2025/05/14 05:04,SELA,"OTHER, MYANMAR"
DSOA9,KMTC SINGAPORE,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,2025/05/14 05:11,KC12,KEELUNG
VROS2,MILD TUNE,CONTAINER,"HONG KONG, CHINA",OCEANLINKS MARINE LIMITED,2025/05/14 06:23,CMTY,"SHANGHAI, SH"
C4GS2,AGIOS IOANNIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,GRANDFAME SHIP MANAGEMENT LTD,2025/05/14 06:55,SWLA,SAMARINDA
BLIG,YM HARMONY,CONTAINER,"TAIWAN, CHINA",YANG MING LINE (HONG KONG) LTD,2025/05/14 07:00,KC14,HAIPHONG
5LFU7,WAN HAI 177,CONTAINER,LIBERIA,HYALINE SHIPPING (HK) CO LTD,2025/05/14 07:53,KC9,"SHEKOU, SHENZHEN"
H3GB,JINYUNHE,CONTAINER,PANAMA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/14 07:54,KC14,"XIAMEN, FJ"
9V7854,WAN HAI 369,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/14 07:55,KC6,"SHEKOU, SHENZHEN"
A8VG2,GSL AFRICA,CONTAINER,LIBERIA,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,2025/05/14 09:40,KC18,"SHANGHAI, SH"
3E2170,APOLLO FIRST,GENERAL / HEAVY LIFT CARGO,PANAMA,VEROSA AGENCY LIMITED,2025/05/14 10:04,SELA,OPEN SEA
VRIH4,JOSCO CHANGZHOU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",CONCORD MARINE LIMITED,2025/05/14 10:16,SWLA,"OTHER, PHILIPPINES"
3E5405,QIAN RUN,GENERAL / HEAVY LIFT CARGO,PANAMA,TEXCO MARINE AGENCY LIMITED,2025/05/14 10:42,SWLA,SINGAPORE
A8SN5,ANL WAIKATO ,CONTAINER,LIBERIA,CMA CGM (HONG KONG) LIMITED,2025/05/14 11:54,KC7,"SHEKOU, SHENZHEN"
3FKX4,SEA GLORY II,RORO/REEFER CARRIER,PANAMA,"SEACON SHIPMANAGE (HK) CO., LIMITED",2025/05/14 12:12,SELA,RABAUL
3FMG7,TEXAS TRIUMPH,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 12:41,KC8,"YANTIAN, SHENZHEN"
VRWN4,OOCL SAN FRANCISCO,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,2025/05/14 12:59,KC,SINGAPORE
3EDG8,ZHIDA 6,GENERAL / HEAVY LIFT CARGO,PANAMA,PENAVICO (HONG KONG) LIMITED,2025/05/14 13:39,SWLA,"OTHER, CHINA (COAST)"
9VKB5,WAN HAI 316,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/14 14:36,KC10,KAOHSIUNG
9HA5881,CMA CGM LISBON,CONTAINER,MALTA,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/14 14:57,LCS1,"SHEKOU, SHENZHEN"
VREU8,SC LIAONING,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",GULF AGENCY CO (HK) LTD,2025/05/14 15:11,SLA,SINGAPORE
HP9499,HOLLY DEVELOPER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,SGS HONG KONG LIMITED,2025/05/14 15:17,SELA,NAKHODKA
V3PQ,GOLDEN VALLEY,GENERAL / HEAVY LIFT CARGO,BELIZE,GRANDFAME SHIP MANAGEMENT LTD,2025/05/14 15:50,SELA,"OTHER, VIETNAM"
3E5147,SEA MAPLE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/14 16:05,SWLA,OPEN SEA
3E7431,HUI YUAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,SGS HONG KONG LIMITED,2025/05/14 16:56,SELA,"TABONEO, INDONESIA"
V7A4842,TS KWANGYANG,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,2025/05/14 17:05,KC7,LAEM CHABANG
9V8084,WAN HAI 278,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/14 17:07,KC6,KAOHSIUNG
VRCY6,SEASPAN YINGKOU,CONTAINER,"HONG KONG, CHINA",EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 17:08,KC10,"DALIAN, LN"
2BOW3,COSCO FELIXSTOWE,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/14 17:25,KC11,BRISBANE
ZCDU9,PIANO LAND,PASSENGER,BERMUDA,LEAGUER SHIPPING LIMITED,2025/05/14 17:27,KTCT,"OTHER, JAPAN"
H3YG,UNI-PREMIER,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 17:58,KC,KOTA KINABALU
V7A5825,TS GUANGZHOU,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,2025/05/14 18:00,KC6,"SHEKOU, SHENZHEN"
CQIU6,AS COLUMBIA,CONTAINER,PORTUGAL,SINOTRANS (HK) SHIPPING LTD,2025/05/14 18:04,KC17,LAEM CHABANG
3E7131,MING TAI 8 ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"ZHONGXIN INTERNATIONAL GROUP CO., LIMITED",2025/05/14 18:09,SWLA,"OTHER, RUSSIAN"
3E4674,YONG JING,GENERAL / HEAVY LIFT CARGO,PANAMA,SK SHIPPING LIMITED,2025/05/14 18:18,SELA,"OTHER, THAILAND"
5BCK2,MEGALOHARI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/14 18:35,SELA,OPEN SEA
5LSI3,POST MARVEL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,TOTAL MARINE AGENCY LIMITED,2025/05/14 19:10,SELA,SINGAPORE
V2HY4,NORDIA ,CONTAINER,ANTIGUA & BARBUDA,PENAVICO (HONG KONG) LIMITED,2025/05/14 19:35,SWLA,TANJUNG PELEPAS
3FZU7,GROVE ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,INCHCAPE SHIPPING SERVICES (HK) LTD,2025/05/14 19:49,SELA,HACHINOHE
D7QB,HEUNG-A BANGKOK,CONTAINER,REPUBLIC OF KOREA,KONG HING AGENCY LTD,2025/05/14 20:59,KC9,"SHANGHAI, SH"
VRUN4,ONE AMAZON,CONTAINER,"HONG KONG, CHINA",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/14 21:17,KC5,"SHANGHAI, SH"
V7A6868,CHRISEA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,SHK AGENCY LIMITED,2025/05/14 21:23,SELA,OPEN SEA
VRSK4,COSCO SHIPPING LOTUS,CONTAINER,"HONG KONG, CHINA",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/14 21:26,KC14,"YANTIAN, SHENZHEN"
5LFT9,VAST OCEAN,LIQUIFIED PETROLEUM GAS TANKER,LIBERIA,SHK AGENCY LIMITED,2025/05/14 21:57,SLA,"ZHANJIANG, GD"
9V8501,WAN HAI 335,CONTAINER,SINGAPORE,OOCL HONG KONG BRANCH,2025/05/14 21:57,KC7,"SHEKOU, SHENZHEN"
HOJG,AN HAI STAR,GENERAL / HEAVY LIFT CARGO,PANAMA,OCEAN BASE CO LTD,2025/05/14 22:27,SELA,"OTHER, CHINA (COAST)"
9WUY7,HARBOUR HORIZON,CONTAINER,MALAYSIA,HARBOUR-LINK LINES LIMITED ,2025/05/14 22:59,KC2,KUCHING
VRLD7,COSCO PIRAEUS,CONTAINER,"HONG KONG, CHINA",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/14 23:00,KC8,"NINGBO, ZJ"
9HA5502,CMA CGM DIGNITY,CONTAINER,MALTA,CMA CGM (HONG KONG) LIMITED,2025/05/15 00:07,SELA,"NINGBO, ZJ"
V7TL2,ASIAN EXPLORER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,NS UNITED SHIPPING (HK) CO LIMITED,2025/05/15 01:15,SELA,OPEN SEA
3E7181,NEWNEW MOON,CONTAINER,PANAMA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/15 02:24,SELA,"NANSHA, PANYU"
3E8689,VIET THUAN 80-05,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,GRANDFAME SHIP MANAGEMENT LTD,2025/05/15 03:25,SWLA,"OTHER, INDONESIA"
3FTP7,THANH THANH DAT 8999,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,WINBO SHIPPING LTD,2025/05/15 03:55,SELA,CUA LO
D5UN6,KASTOR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,PENAVICO (HONG KONG) LIMITED,2025/05/15 04:26,SWLA,"WEIHAI, SD"
