CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
5LEJ3,SOL HONGKONG,GENERAL / HEAVY LIFT CARGO,2025/05/16 18:00,LIBERIA,SUBIC BAY,SK SHIPPING LIMITED,RCVD
3E6703,GAO XIN 6,GENERAL / HEAVY LIFT CARGO,2025/05/16 18:00,PANAMA,CHANMAY,CGW LOGISTICS CO LIMITED,RCVD
TJM5208,MARIA 593,GENERAL / HEAVY LIFT CARGO,2025/05/16 18:00,CAMEROON,INCHEON,YIU LIAN DOCKYARDS LTD,RCVD
BRHW,HAI XIN YOU 619,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/16 18:00,CHINA,YANGPU,VASTON SHIPPING AGENCY LIMITED,RCVD
C5J424,GAS VISION,LIQUIFIED PETROLEUM GAS TANKER,2025/05/16 18:00,GAMBIA,QINGDAO,UNKNOWN AGENT,RCVD
3FDM5,HOUYOSHI EXPRESS II,CHEMICAL,2025/05/16 18:00,PANAMA,YANGPU,VASTON SHIPPING AGENCY LIMITED,RCVD
VRSC2,SITC TOKUYAMA,CONTAINER,2025/05/16 18:30,"HONG KONG, CHINA",HAIPHONG,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
V7ZQ9,ERASMUS LEO,CONTAINER,2025/05/16 18:30,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",TRANSIT AGENT,RCVD
5LDM3,MAERSK CAMDEN,CONTAINER,2025/05/16 19:00,LIBERIA,SINGAPORE,TRANSIT AGENT,RCVD
VRMT6,CSCL SPRING,CONTAINER,2025/05/16 19:00,"HONG KONG, CHINA",KAOHSIUNG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
D5IN6,ATACAMA,CONTAINER,2025/05/16 19:30,LIBERIA,SINGAPORE,PENAVICO (HONG KONG) LIMITED,RCVD
9V2607,ULTRA OCELOT ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 20:00,SINGAPORE,GLADSTONE,SGS HONG KONG LIMITED,RCVD
BLHI,YM UNICORN,CONTAINER,2025/05/16 20:00,"TAIWAN, CHINA","NINGBO, ZJ",YANG MING LINE (HONG KONG) LTD,RCVD
C4NK2,PUSAN C,CONTAINER,2025/05/16 20:00,CYPRUS,"NANSHA, PANYU",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
VRWF4,CA MANILA,CONTAINER,2025/05/16 21:00,"HONG KONG, CHINA","XIAMEN, FJ",BEN LINE AGENCIES (HK) LTD,RCVD
9V6517,WAN HAI 296,CONTAINER,2025/05/16 21:00,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,RCVD
5LLY5,MSC VIVIENNE,CONTAINER,2025/05/16 21:00,LIBERIA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
V7ZR2,STARSHIP URSA,CONTAINER,2025/05/16 21:00,MARSHALL ISLANDS,BUSAN,NAMSUNG SHIPPING HONG KONG LIMITED,RCVD
9V3760,WAN HAI 521,CONTAINER,2025/05/16 21:30,SINGAPORE,"SHANGHAI, SH",HYALINE SHIPPING (HK) CO LTD,RCVD
V7HX6,PANAGIOTIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 22:00,MARSHALL ISLANDS,BONTANG,SGS HONG KONG LIMITED,RCVD
VRTD8,FOREVER BRILLIANCY,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/16 22:00,"HONG KONG, CHINA",PORT MORESBY,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,RCVD
9V6500,WAN HAI 329,CONTAINER,2025/05/16 22:00,SINGAPORE,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,RCVD
3E4695,CRUX TWIN,GENERAL / HEAVY LIFT CARGO,2025/05/16 22:00,PANAMA,KEELUNG,IGOR SHIPPING AGENCIES LTD,RCVD
9HA6080,CMA CGM GUILD,CONTAINER,2025/05/16 23:00,MALTA,"NINGBO, ZJ",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
