CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
9V7397,WAN HAI A02,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC10,2025/05/12 08:00,"NINGBO, ZJ"
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,CMTY,2025/05/12 08:00,HAIPHONG
9V7381,WAN HAI 353,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC13,2025/05/12 08:00,TAICHUNG
9V7577,WAN HAI 511,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC7,2025/05/12 08:00,"SHEKOU, SHENZHEN"
D7SB,DONGJIN VOYAGER,CONTAINER,REPUBLIC OF KOREA,SINOTRANS (HK) SHIPPING LTD,KC18,2025/05/12 09:00,HAIPHONG
3E2605,DS EXPRESS 178,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"UNITRANS AGENCY HONG KONG CO., LIMITED",SWLA,2025/05/12 09:00,OPEN SEA
BPIU9,HONG JING,LIQUIFIED PETROLEUM GAS TANKER,CHINA,S5 ASIA LIMITED,SHELL,2025/05/12 11:43,"DONGGUAN, GD"
V7KN6,ZIRCON,CHEMICAL,MARSHALL ISLANDS,OCEANUS MARITIME COMPANY LIMITED,LKTPBW5,2025/05/12 12:00,OPEN SEA
5BEB4,MARATHASSA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,WELLS MARINE AGENCIES,E,2025/05/12 12:00,"ZHANJIANG, GD"
ELXX8,SANTA CRUZ I,"TANKER (CRUDE,FUEL,DIESEL,LUB)",LIBERIA,VASTON SHIPPING AGENCY LIMITED,ELC,2025/05/12 12:00,SINGAPORE
V7A5710,TS JAKARTA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,KC10,2025/05/12 12:21,KEELUNG
3E2779,DE LONG,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,TEXCO MARINE AGENCY LIMITED,SC,2025/05/12 14:00,SINGAPORE
3E4003,SUNFLYTE,CHEMICAL,PANAMA,OCEAN BASE CO LTD,W,2025/05/12 15:10,OPEN SEA
9V2332,CHRISTA SCHULTE,CONTAINER,SINGAPORE,SINOTRANS (HK) SHIPPING LTD,KC18,2025/05/12 15:30,"YANTIAN, GD"
3E6120,HARMONY 2,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,,2025/05/12 17:00,KURE
VRGE3,OOCL LE HAVRE,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,KC2,2025/05/12 18:00,KAOHSIUNG
D5TI7,HONG RUN 6,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,P. M. S. HONG KONG LIMITED,SWLA,2025/05/12 18:00,"OTHER, RUSSIAN"
9V8378,INTERASIA ENHANCE,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/12 18:00,"NANSHA, PANYU"
9V8480,KOTA LEKAS,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,WL,2025/05/12 18:00,"NANSHA, PANYU"
3E5352,SKY CHALLENGE,CONTAINER,PANAMA,"CK LINE (HONGKONG) CO., LIMITED",KC11,2025/05/12 18:00,"SHEKOU, SHENZHEN"
V7BQ2,GENCO RESOLUTE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,BEN LINE AGENCIES (HK) LTD,E,2025/05/12 18:53,PORT HEDLAND
OYLF2,NIMTOFTE MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,,2025/05/12 20:00,"NANSHA, PANYU"
3E5913,YAN GANG 2,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,,2025/05/12 20:00,"WENZHOU, ZJ"
3EKU8,SPRING QUEEN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,NS UNITED SHIPPING (HK) CO LIMITED,CCM,2025/05/12 20:00,SINGAPORE
