CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
V7A5926,FEDERAL KIBUNE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,"TIANJIN XINGANG, TJ",SHING FUNG SHIPPING AGENCY CO. LIMITED,6.89,2025/05/11 18:13,YLD
5LGW6,STEPHANIA K,CONTAINER,LIBERIA,TAICHUNG,OOCL HONG KONG BRANCH,9.1,2025/05/11 18:31,WA2
9V6017,MAERSK XIAMEN,CONTAINER,SINGAPORE,"SHANGHAI, SH",SINOTRANS (HK) SHIPPING LTD,7.69,2025/05/11 18:48,KC20
3FXV9,GREAT WENMING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,DUNG QUAT,GRANDFAME SHIP MANAGEMENT LTD,7.1,2025/05/11 19:11,SELA
5BJW2,DIMITRIS A,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"CHIWAN, SHENZHEN",OCEAN BASE CO LTD,7.3,2025/05/11 19:29,SELA
9V7397,WAN HAI A02,CONTAINER,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,11.5,2025/05/11 19:51,KC10
BQEA4,HUA YANG CHUAN QI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"ZHUHAI, GD",BRIGHT CAPITAL SHIPPING CO LIMITED,7.1,2025/05/11 20:02,SWLA
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA","SHANGHAI, SH",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,8.1,2025/05/11 20:14,CMTY
VRNE7,OCEANA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","OTHER, CANADA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,12.8,2025/05/11 21:58,SELA
9V7577,WAN HAI 511,CONTAINER,SINGAPORE,KAOHSIUNG,HYALINE SHIPPING (HK) CO LTD,11.1,2025/05/11 21:59,WA2
9V2332,CHRISTA SCHULTE,CONTAINER,SINGAPORE,"SHANGHAI, SH",SINOTRANS (HK) SHIPPING LTD,13.2,2025/05/11 22:34,KC18
9HA5951,CMA CGM IVANHOE,CONTAINER,MALTA,"SHANGHAI, SH",CMA CGM (HONG KONG) LIMITED,13.9,2025/05/11 22:36,LCS1
9V7381,WAN HAI 353,CONTAINER,SINGAPORE,BUSAN,HYALINE SHIPPING (HK) CO LTD,10.6,2025/05/11 22:46,KC13
3EKO7,GEMINI PEARL,CHEMICAL,PANAMA,"OTHER, KOREA, R",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,11.83,2025/05/11 23:08,EMTY
3E3381,V PACIFIC,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"YANGJIANG, GD",PENAVICO (HONG KONG) LIMITED,6,2025/05/11 23:14,SWLA
3E2049,EVER CONNECT,CONTAINER,PANAMA,"NANSHA, PANYU",EVERGREEN MARINE (HONG KONG) LTD,7.64,2025/05/12 00:11,WA2
2HDG3,EVER LISSOME,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,11.2,2025/05/12 00:41,KC8
VRJT3,BULK HARVEST,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","SHANGHAI, SH",SK SHIPPING LIMITED,8.4,2025/05/12 00:48,SELA
D7SB,DONGJIN VOYAGER,CONTAINER,REPUBLIC OF KOREA,"SHANGHAI, SH",SINOTRANS (HK) SHIPPING LTD,9.9,2025/05/12 01:16,KC18
D5TI7,HONG RUN 6,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"OTHER, CHINA (COAST)",P. M. S. HONG KONG LIMITED,7.1,2025/05/12 01:20,SWLA
V7A5710,TS JAKARTA,CONTAINER,MARSHALL ISLANDS,KAOHSIUNG,T.S. LINES LIMITED,9.1,2025/05/12 01:20,KC10
3E5352,SKY CHALLENGE,CONTAINER,PANAMA,PUSAN,"CK LINE (HONGKONG) CO., LIMITED",8.9,2025/05/12 01:24,KC11
3E3433,SEA GULL 18,CHEMICAL,PANAMA,"OTHER, CHINA (COAST)",CONCORD MARINE LIMITED,7,2025/05/12 01:50,SLA
5LGM7,EVER ONWARD,CONTAINER,LIBERIA,DANANG,EVERGREEN MARINE (HONG KONG) LTD,8.6,2025/05/12 01:55,KC12
3E2605,DS EXPRESS 178,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"ZHENJIANG, JS","UNITRANS AGENCY HONG KONG CO., LIMITED",6.9,2025/05/12 02:00,SWLA
3E4060,MARINA SOFIA,MULTI-PURPOSE(SEMI CONT.),PANAMA,"NANSHA, PANYU",PENAVICO (HONG KONG) LIMITED,5,2025/05/12 02:51,SWLA
9V7801,EVER WEB,CONTAINER,SINGAPORE,"SHEKOU, SHENZHEN",EVERGREEN MARINE (HONG KONG) LTD,9.6,2025/05/12 03:56,SELA
VRGE3,OOCL LE HAVRE,CONTAINER,"HONG KONG, CHINA",SINGAPORE,OOCL HONG KONG BRANCH,10.8,2025/05/12 05:10,KC2
BG3721,JIN HAE FA NO 26,FISHING,"TAIWAN, CHINA",KAOHSIUNG,ISM SHIPPING AGENT COMPANY,3.2,2025/05/12 06:25,CSWFM
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,"SHANGHAI, SH",CONCORD MARINE LIMITED,7,2025/05/12 07:36,SELA
DSMA4,KMTC TIANJIN,CONTAINER,REPUBLIC OF KOREA,"SHANGHAI, SH",KMTC (HK) CO LIMITED,11.1,2025/05/12 07:38,KC6
