CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
T2SG5,KENYO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 07:00,TUVALU,"OTHER, VIETNAM",PROSPERITY STEAMSHIP CO LTD,RCVD
V7A2844,STAR EXPLORER,CONTAINER,2025/05/17 07:00,MARSHALL ISLANDS,HAIPHONG,NAMSUNG SHIPPING HONG KONG LIMITED,RCVD
A8AP2,ZHEN HUA 36,GENERAL / HEAVY LIFT CARGO,2025/05/17 08:00,LIBERIA,"SHANGHAI, SH",YIU LIAN DOCKYARDS LTD,RCVD
V7A5717,TS NANSHA,CONTAINER,2025/05/17 08:00,MARSHALL ISLANDS,PASIR GUDANG,T.S. LINES LIMITED,RCVD
9V8400,TOCHO,CAR CARRIER,2025/05/17 08:00,SINGAPORE,"HUANGPU, GD",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,RCVD
5LMI6,XIANG TAI KOU,GENERAL / HEAVY LIFT CARGO,2025/05/17 08:00,LIBERIA,"JIANGYIN, JS",PENAVICO (HONG KONG) LIMITED,RCVD
C4ZL2,VANCOUVER,CONTAINER,2025/05/17 08:00,CYPRUS,SINGAPORE,OOCL HONG KONG BRANCH,RCVD
3E3863,POS QINGDAO,CONTAINER,2025/05/17 09:00,PANAMA,"NANSHA, PANYU",YUEN FUNG SHIPPING LTD,RCVD
VRCC6,XIN SHANGHAI,CONTAINER,2025/05/17 09:00,"HONG KONG, CHINA",SINGAPORE,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
3EXO7,MSC GAIA,CONTAINER,2025/05/17 09:30,PANAMA,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
9V5294,PARANAGUA EXPRESS,CONTAINER,2025/05/17 10:00,SINGAPORE,"NINGBO, ZJ",PENAVICO (HONG KONG) LIMITED,RCVD
VRSV2,SITC CEBU,CONTAINER,2025/05/17 11:00,"HONG KONG, CHINA","NANSHA, PANYU",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
5LDM3,MAERSK CAMDEN,CONTAINER,2025/05/17 11:00,LIBERIA,"YANTIAN, SHENZHEN",TRANSIT AGENT,RCVD
9V2089,MAERSK SAN VICENTE,CONTAINER,2025/05/17 11:00,SINGAPORE,"YANTIAN, SHENZHEN",PENAVICO (HONG KONG) LIMITED,RCVD
VRLI3,SITC HOCHIMINH,CONTAINER,2025/05/17 12:00,"HONG KONG, CHINA","NANSHA, PANYU",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
T8A4559,HONG LI,GENERAL / HEAVY LIFT CARGO,2025/05/17 12:00,REPUBLIC OF PALAU,KAOHSIUNG,OCEAN DRAGON AGENCY COMPANY LIMITED,RCVD
3E6714,FORTUNE PROGRESS,GENERAL / HEAVY LIFT CARGO,2025/05/17 12:00,PANAMA,"NANSHA, PANYU",CGW LOGISTICS CO LIMITED,RCVD
3E7617,CHANG SHUN JING HAI ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 12:00,PANAMA,"ZHANJIANG, GD",SK SHIPPING LIMITED,RCVD
5LGC2,OCEAN FLEET,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/17 12:00,LIBERIA,"NANSHA, PANYU",SK SHIPPING LIMITED,RCVD
