CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
9V6499,WAN HAI 328,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC8,2025/05/11 07:00,TOKYO
9V7865,WAN HAI 373,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC7,2025/05/11 08:00,"DALIAN, LN"
5LGV4,YM TRILLION,CONTAINER,LIBERIA,YANG MING LINE (HONG KONG) LTD,KC5,2025/05/11 09:00,"YANTIAN, SHENZHEN"
D5UF8,ESL WALRUS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,PENAVICO (HONG KONG) LIMITED,SELA,2025/05/11 11:00,"DAMPIER, AUSTRALIA"
V7IL7,BANASTAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,SWLA,2025/05/11 11:25,BALIKPAPAN
9V6513,WAN HAI 293,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC6,2025/05/11 12:00,"CHIWAN, SHENZHEN"
D5SM5,HC FORWARD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SGS HONG KONG LIMITED,,2025/05/11 12:00,"OTHER, INDONESIA"
3ELS,GREEN CLARITY,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,WA3,2025/05/11 12:00,"SHEKOU, SHENZHEN"
V7DC5,TS OSAKA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,W,2025/05/11 12:08,"NINGBO, ZJ"
3E7175,LAN HAI FANG ZHOU,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,S,2025/05/11 13:00,"OTHER, KOREA, R"
3E7593,TONGYUN12,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,S,2025/05/11 14:00,"OTHER, KOREA, R"
BPPH3,GUO SHUN 28,GENERAL / HEAVY LIFT CARGO,CHINA,CGW LOGISTICS CO LIMITED,SWLA,2025/05/11 15:00,LHOKSOUMAWE
3FDM5,HOUYOSHI EXPRESS II,CHEMICAL,PANAMA,VASTON SHIPPING AGENCY LIMITED,PAFF,2025/05/11 15:00,YANGPU
VRNE7,OCEANA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,,2025/05/11 15:40,OPEN SEA
D5JM4,IVESTOS II,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,OCEANUS MARITIME COMPANY LIMITED,SWLA,2025/05/11 15:43,OPEN SEA
XVEQ7,HAIAN LINK,CONTAINER,VIETNAM,MEGATOP AGENCY LIMITED,KC10,2025/05/11 18:00,"NANSHA, PANYU"
3FAT7,JIAN RUI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,SWLA,2025/05/11 18:00,"OTHER, JAPAN"
D7KO,HEUNG-A SARAH,CONTAINER,REPUBLIC OF KOREA,KONG HING AGENCY LTD,,2025/05/11 18:00,HAIPHONG
5LEI2,CHINOOK OLDENDORFF,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,BEN LINE AGENCIES (HK) LTD,SELA,2025/05/11 18:42,VANCOUVER
V3IU3,YUAN CHEN 27,GENERAL / HEAVY LIFT CARGO,BELIZE,"ZHONGXIN INTERNATIONAL GROUP CO., LIMITED",,2025/05/11 20:00,KOCHI
3E5420,CELESTE ACE ,CAR CARRIER,PANAMA,MOL HONG KONG LIMITED,,2025/05/11 20:00,"SHANGHAI, SH"
A8KS9,YM IMPROVEMENT,CONTAINER,LIBERIA,YANG MING LINE (HONG KONG) LTD,,2025/05/11 22:00,LAEM CHABANG
D5ML2,KMTC BANGKOK,CONTAINER,LIBERIA,KMTC (HK) CO LIMITED,E,2025/05/11 22:00,HO CHI MINH CITY
9V7380,WAN HAI 352,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/11 22:00,"NANSHAN, FJ"
3FXV9,GREAT WENMING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,GRANDFAME SHIP MANAGEMENT LTD,,2025/05/11 22:00,"OTHER, RUSSIAN"
BKLH,EVER BEADY,CONTAINER,"TAIWAN, CHINA",EVERGREEN MARINE (HONG KONG) LTD,KC10,2025/05/11 23:00,KAOHSIUNG
VRTV9,EVER OCEAN,CONTAINER,"HONG KONG, CHINA",EVERGREEN MARINE (HONG KONG) LTD,,2025/05/11 23:00,KAOHSIUNG
2BOK5,COSCO ROTTERDAM,CONTAINER,UNITED KINGDOM OF GREAT BRITAIN,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC,2025/05/11 23:00,"SHEKOU, SHENZHEN"
9V6732,ARAUCARIA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,OCEAN BASE CO LTD,YLD,2025/05/11 23:00,OPEN SEA
VROA2,KELLETT ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",PENAVICO (HONG KONG) LIMITED,,2025/05/11 23:00,"NANSHA, PANYU"
BPRY,HUA HAI 21,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,VASTON SHIPPING AGENCY LIMITED,SINO,2025/05/11 23:00,"HUANGPU, GD"
9M3120,MTT PELEPAS,CONTAINER,MALAYSIA,EVERGREEN MARINE (HONG KONG) LTD,WL,2025/05/11 23:00,SIHANOUK VILLE
3E3433,SEA GULL 18,CHEMICAL,PANAMA,CONCORD MARINE LIMITED,,2025/05/11 23:00,SINGAPORE
