CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
3E4766,KANG SHUN HUI HUANG,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,,2025/05/11 23:00,"QINZHOU, GX"
HOJG,AN HAI STAR,GENERAL / HEAVY LIFT CARGO,PANAMA,OCEAN BASE CO LTD,,2025/05/12 01:00,"XIUYAO, XIAMEN, FJ"
5LNQ4,MSC MAGNITUDE VII,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,W,2025/05/12 01:00,"YANTIAN, SHENZHEN"
9V6017,MAERSK XIAMEN,CONTAINER,SINGAPORE,SINOTRANS (HK) SHIPPING LTD,,2025/05/12 02:00,"YANTIAN, SHENZHEN"
5LID5,MSC MAKALU III,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,,2025/05/12 02:30,"FUZHOU, MAWEI, FJ"
5LFU8,WAN HAI 178,CONTAINER,LIBERIA,HYALINE SHIPPING (HK) CO LTD,KC6,2025/05/12 05:00,"SHEKOU, SHENZHEN"
9V8259,KOTA HAPAS,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,,2025/05/12 06:00,LAE
3WLO9,DAI TAY DUONG 25,GENERAL / HEAVY LIFT CARGO,VIETNAM,Y & W SHIPPING COMPANY LIMITED,,2025/05/12 06:00,OPEN SEA
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,,2025/05/12 08:00,HAIPHONG
BQEA4,HUA YANG CHUAN QI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,BRIGHT CAPITAL SHIPPING CO LIMITED,,2025/05/12 08:21,TANJUNG BARA
BPIF2,SHENG HANG HUA 12,CHEMICAL,CHINA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,,2025/05/12 11:00,SINGAPORE
5LGW6,STEPHANIA K,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,,2025/05/12 12:00,"SHEKOU, SHENZHEN"
ELXX8,SANTA CRUZ I,"TANKER (CRUDE,FUEL,DIESEL,LUB)",LIBERIA,VASTON SHIPPING AGENCY LIMITED,EMTY,2025/05/12 12:00,SINGAPORE
3E5348,SHENG HONG 12,GENERAL / HEAVY LIFT CARGO,PANAMA,TEXCO MARINE AGENCY LIMITED,,2025/05/12 14:00,SINGAPORE
5LCT5,AS ANNE,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,KC11,2025/05/12 14:00,"SHEKOU, SHENZHEN"
3E2779,DE LONG,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,TEXCO MARINE AGENCY LIMITED,W,2025/05/12 14:00,SINGAPORE
VRGQ7,JIA DA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,HKE,2025/05/12 14:21,BALIKPAPAN
2IEC6,BERGE HENG SHAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,ISLE OF MAN,GULF AGENCY CO (HK) LTD,W,2025/05/12 15:00,PORT HEDLAND
3E4003,SUNFLYTE,CHEMICAL,PANAMA,OCEAN BASE CO LTD,W,2025/05/12 15:10,OPEN SEA
9V2332,CHRISTA SCHULTE,CONTAINER,SINGAPORE,SINOTRANS (HK) SHIPPING LTD,,2025/05/12 15:30,"YANTIAN, GD"
VRGE3,OOCL LE HAVRE,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,,2025/05/12 18:00,KAOHSIUNG
