CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,ATD_TIME,NEXT_PORT,ATA_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE
BPIU9,HONG JING,S5 ASIA LIMITED,CHINA,2025/05/12 19:53,"DONGGUAN, GD",2025/05/14 19:01,SHELL,"DONGGUAN, GD",SHELL,6,RCVD,LIQUIFIED PETROLEUM GAS TANKER
V7A6349,TS SURABAYA,T.S. LINES LIMITED,MARSHALL ISLANDS,2025/05/15 08:55,"SHEKOU, SHENZHEN",2025/05/14 19:07,KC6,"NANSHA, PANYU",KC6,7.7,RCVD,CONTAINER
3EUL8,EVER BIRTH,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,2025/05/15 08:27,"YANTIAN, SHENZHEN",2025/05/14 19:08,KC7,KUANTAN,KC7,10.3,RCVD,CONTAINER
VRFQ5,OCEAN DUKE,SGS HONG KONG LIMITED,"HONG KONG, CHINA",2025/05/15 08:06,PORT HEDLAND,2025/05/14 20:25,SELA,"LUOYUAN, FJ",SELA,8.6,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
V7PS7,HYUNDAI FAITH,HMM (HONG KONG) LIMITED,MARSHALL ISLANDS,2025/05/15 07:59,QINGDAO,2025/05/14 22:59,KC5,SINGAPORE,KC5,11.5,RCVD,CONTAINER
3FDY9,KMTC GWANGYANG,KMTC (HK) CO LIMITED,PANAMA,2025/05/15 08:58,HO CHI MINH CITY,2025/05/14 23:01,KC9,ULSAN,KC9,9.4,RCVD,CONTAINER
9HA5502,CMA CGM DIGNITY,CMA CGM (HONG KONG) LIMITED,MALTA,2025/05/15 00:07,"NINGBO, ZJ",2025/05/15 00:05,SELA,BUSAN,S,13.3,RCVD,CONTAINER
3E4122,SHOKAI ,INCHCAPE SHIPPING SERVICES (HK) LTD,PANAMA,2025/05/15 13:02,VUNGTAU,2025/05/15 03:02,SLA,"OTHER, CHINA (COAST)",SLA,6.9,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)"
9V6015,MAERSK QINZHOU,PENAVICO (HONG KONG) LIMITED,SINGAPORE,2025/05/15 12:38,KEELUNG,2025/05/15 03:07,KC19,DANANG,KC,9.7,RCVD,CONTAINER
3FXG8,FENGYUNHE,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,PANAMA,2025/05/15 11:56,"QINZHOU, GX",2025/05/15 06:03,KC10,"YANTIAN, GD",KC10,7.6,RCVD,CONTAINER
VRFO2,MAERSK NINGBO,SINOTRANS (HK) SHIPPING LTD,"HONG KONG, CHINA",2025/05/15 20:24,BRISBANE,2025/05/15 06:47,KC19,"SHANGHAI, SH",WA,10.3,RCVD,CONTAINER
VRVS3,COSCO SHIPPING BRAZIL,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"HONG KONG, CHINA",2025/05/16 00:01,"TIANJIN XINGANG, TJ",2025/05/15 07:29,KC14,SINGAPORE,ELC,11.5,RCVD,CONTAINER
5LHO2,AVIOS,SINOTRANS (HK) SHIPPING LTD,LIBERIA,2025/05/15 20:23,"SHANGHAI, SH",2025/05/15 07:48,KC4,LAEM CHABANG,PT,9.3,RCVD,CONTAINER
VRAB8,CSCL ASIA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"HONG KONG, CHINA",2025/05/15 20:03,"NINGBO, ZJ",2025/05/15 09:44,KC13,"DALIAN, LN",E,9.8,RCVD,CONTAINER
BQXZ,HAI SU 6,SINOTRANS (HK) SHIPPING LTD,CHINA,2025/05/15 13:33,"SHEKOU, SHENZHEN",2025/05/15 09:58,CMTY,"SHANTOU, GD",E,7.1,RCVD,CONTAINER
V7A7425,TS PUSAN,T.S. LINES LIMITED,MARSHALL ISLANDS,2025/05/16 02:36,"XINGANG, TIANJIN, TJ",2025/05/15 10:16,KC7,MANILA,E,7.4,RCVD,CONTAINER
VRSL6,LAUTOKA CHIEF,WALLEM SHIPPING (HK) LTD,"HONG KONG, CHINA",2025/05/15 20:32,LAE,2025/05/15 10:24,KC2,"NANSHA, PANYU",S,10,RCVD,CONTAINER
V7A4470,ASIAN ISLAND,NS UNITED SHIPPING (HK) CO LIMITED,MARSHALL ISLANDS,2025/05/16 17:07,OPEN SEA,2025/05/15 14:06,PSSA,KEELUNG,PSSA,6.29,RCVD,GENERAL / HEAVY LIFT CARGO
3FMG7,TEXAS TRIUMPH,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,2025/05/14 12:41,"YANTIAN, SHENZHEN",2025/05/13 18:56,KC8,KAOHSIUNG,KC8,12.8,RCVD,CONTAINER
3E6682,CHANG SHENG JI 7,CONCORD MARINE LIMITED,PANAMA,2025/05/12 07:37,KAOHSIUNG,2025/05/12 07:36,SELA,"SHANGHAI, SH",W,7,RCVD,GENERAL / HEAVY LIFT CARGO
BLIG,YM HARMONY,YANG MING LINE (HONG KONG) LTD,"TAIWAN, CHINA",2025/05/14 07:00,HAIPHONG,2025/05/13 20:59,KC14,KAOHSIUNG,KC14,8.5,RCVD,CONTAINER
DSOA9,KMTC SINGAPORE,KMTC (HK) CO LIMITED,REPUBLIC OF KOREA,2025/05/14 05:11,KEELUNG,2025/05/13 22:24,KC12,LAEM CHABANG,WA,9.4,RCVD,CONTAINER
VREU8,SC LIAONING,GULF AGENCY CO (HK) LTD,"HONG KONG, CHINA",2025/05/14 15:11,SINGAPORE,2025/05/13 23:02,SLA,DAESAN,SHELL,8.7,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)"
A8VG2,GSL AFRICA,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,LIBERIA,2025/05/14 09:40,"SHANGHAI, SH",2025/05/13 23:14,KC18,LAEM CHABANG,KC18,10.7,RCVD,CONTAINER
A8SN5,ANL WAIKATO ,CMA CGM (HONG KONG) LIMITED,LIBERIA,2025/05/14 11:54,"SHEKOU, SHENZHEN",2025/05/13 23:41,KC7,"NINGBO, ZJ",KC7,10.7,RCVD,CONTAINER
BQMV,FU LIAN,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CHINA,2025/05/14 04:34,QINGDAO,2025/05/14 00:19,KC7,HAIPHONG,ELC,6.4,RCVD,GENERAL / HEAVY LIFT CARGO
VRWN4,OOCL SAN FRANCISCO,OOCL HONG KONG BRANCH,"HONG KONG, CHINA",2025/05/14 12:59,SINGAPORE,2025/05/14 00:40,KC,KAOHSIUNG,KC,10.3,RCVD,CONTAINER
VRUN4,ONE AMAZON,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,"HONG KONG, CHINA",2025/05/14 21:17,"SHANGHAI, SH",2025/05/14 01:44,KC5,SINGAPORE,KC5,13.2,RCVD,CONTAINER
9WUY7,HARBOUR HORIZON,HARBOUR-LINK LINES LIMITED ,MALAYSIA,2025/05/14 22:59,KUCHING,2025/05/14 02:34,KC2,"NANSHA, PANYU",SELA,8,RCVD,CONTAINER
H3YG,UNI-PREMIER,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,2025/05/14 17:58,KOTA KINABALU,2025/05/14 03:08,KC,KAOHSIUNG,KC,8.8,RCVD,CONTAINER
