CALL_SIGN,ETD_TIME,VESSEL_MAX_DRAFT,ATA_TIME,ETA_TIME,FLAG,VESSEL_NAME,NEXT_PORT,LAST_PORT,BERTH,SHIP_TYPE,PASI,ATD_TIME,CURRENT_LOCATION,AGENT_NAME
V7A7436,2025/05/11 09:24,8.3,2025/05/10 04:05,2025/05/11 07:30,MARSHALL ISLANDS,TS JOHOR,"SHEKOU, SHENZHEN","SHEKOU, SHENZHEN",KC7,CONTAINER,RCVD,2025/05/10 14:56,KC7,T.S. LINES LIMITED
VRNW3,2025/05/10 16:00,11,2025/05/10 08:19,2025/05/10 08:00,"HONG KONG, CHINA",NEW PEACE,SINGAPORE,ZHOUSHAN,SLA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/10 13:06,PT,WALLEM SHIPPING (HK) LTD
9LU2780,2025/05/10 20:00,6.9,2025/05/10 08:26,2025/05/10 08:00,SIERRA LEONE,YONG SHUN,OPEN SEA,"OTHER, CHINA (COAST)",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/10 13:39,WL,"UNITRANS AGENCY HONG KONG CO., LIMITED"
OXCQ2,2025/05/10 23:00,12,2025/05/10 08:29,2025/05/10 07:00,DENMARK,SAN ANTONIO MAERSK,"SHANGHAI, SH",SINGAPORE,KC18,CONTAINER,RCVD,2025/05/10 22:42,WL,PENAVICO (HONG KONG) LIMITED
V7A2845,2025/05/10 23:00,6.8,2025/05/10 09:53,2025/05/10 08:00,MARSHALL ISLANDS,STAR FRONTIER,HAIPHONG,INCHEON,KC4,CONTAINER,RCVD,2025/05/10 21:58,E,NAMSUNG SHIPPING HONG KONG LIMITED
DSIJ9,2025/05/11 04:00,6.3,2025/05/10 09:58,2025/05/10 18:00,REPUBLIC OF KOREA,WOO JONG,ULSAN,"OTHER, CHINA (COAST)",SINO,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/11 02:02,E,PENAVICO (HONG KONG) LIMITED
ELXX8,2025/05/12 12:00,13.1,2025/05/10 10:35,2025/05/10 09:00,LIBERIA,SANTA CRUZ I,SINGAPORE,SINGAPORE,EMTY,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/12 04:51,EMTY,VASTON SHIPPING AGENCY LIMITED
9V7396,2025/05/10 23:00,9.5,2025/05/10 11:01,2025/05/10 09:00,SINGAPORE,WAN HAI A01,"NINGBO, ZJ","SHEKOU, SHENZHEN",KC9,CONTAINER,RCVD,2025/05/10 23:01,W,HYALINE SHIPPING (HK) CO LTD
5LAR7,2025/05/10 22:00,8.6,2025/05/10 11:24,2025/05/10 10:00,LIBERIA,MSC SHAHAR,"YANTIAN, SHENZHEN",SYDNEY,KC1,CONTAINER,RCVD,2025/05/10 22:03,E,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED
9VCB4,2025/05/11 01:00,7.3,2025/05/10 17:10,2025/05/10 12:00,SINGAPORE,XH DEEP COVER,NEWCASTLE,HUIZHOUGANG,SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/11 01:58,E,GRANDFAME SHIP MANAGEMENT LTD
9V7800,2025/05/16 15:00,8.3,2025/05/09 09:43,2025/05/16 07:00,SINGAPORE,EVER WIN,"SHEKOU, SHENZHEN","SHANGHAI, SH",PSSA,CONTAINER,RCVD,2025/05/09 20:35,WL,EVERGREEN MARINE (HONG KONG) LTD
BPBY,2025/05/16 23:00,11.2,2025/05/09 11:25,2025/05/16 08:00,CHINA,XIN DAN DONG,"XINGANG, TIANJIN, TJ","OTHER, VIETNAM",SELA,CONTAINER,RCVD,2025/05/09 11:28,S,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
