CALL_SIGN,ETD_TIME,VESSEL_MAX_DRAFT,ATA_TIME,ETA_TIME,FLAG,VESSEL_NAME,NEXT_PORT,LAST_PORT,BERTH,SHIP_TYPE,PASI,ATD_TIME,CURRENT_LOCATION,AGENT_NAME
V7A2844,2025/05/13 13:00,7.6,2025/05/13 02:18,2025/05/13 06:00,MARSHALL ISLANDS,STAR EXPLORER,HAIPHONG,INCHEON,KC10,CONTAINER,RCVD,2025/05/13 12:56,KC10,NAMSUNG SHIPPING HONG KONG LIMITED
BLHP,2025/05/13 23:59,8.4,2025/05/13 02:24,2025/05/13 02:00,"TAIWAN, CHINA",YM IMMENSE,KAOHSIUNG,HO CHI MINH CITY,KC7,CONTAINER,RCVD,2025/05/13 10:57,KC7,YANG MING LINE (HONG KONG) LTD
9VFL3,2025/05/13 21:00,10,2025/05/13 04:06,2025/05/12 16:00,SINGAPORE,ACX DIAMOND,PORT KELANG,KEELUNG,KC5,CONTAINER,RCVD,2025/05/13 16:43,KC5,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED
3E5137,2025/05/13 11:00,5,2025/05/13 06:08,2025/05/10 23:00,PANAMA,CHUNRONG 803,"YANGJIANG, GD","NANSHA, PANYU",SWLA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/13 09:28,SWLA,CGW LOGISTICS CO LIMITED
VRBK8,2025/05/13 08:00,6.8,2025/05/13 07:24,2025/05/12 20:00,"HONG KONG, CHINA",OSG BOSSTEC,OPEN SEA,"SHEKOU, SHENZHEN",PT,CONTAINER,RCVD,2025/05/13 14:48,FL,"UNITRANS AGENCY HONG KONG CO., LIMITED"
9LU2481,2025/05/13 16:00,6.2,2025/05/13 07:26,2025/05/11 23:59,SIERRA LEONE,LIAN YUN 9,"QUANZHOU, FJ",TANJUNG PANDANG,SWLA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/13 11:45,S,BRIGHT CAPITAL SHIPPING CO LIMITED
S6ST,2025/05/13 18:00,4.9,2025/05/13 08:34,2025/05/13 07:00,SINGAPORE,KOTA RATU,"HUANGPU, GD",KOROR,KC3,CONTAINER,RCVD,2025/05/13 14:55,PT,PACIFIC INTERNATIONAL LINES (HK) LTD
3E7671,2025/05/13 23:00,7.6,2025/05/13 08:36,2025/05/13 23:00,PANAMA,FU LONG SHENG,BINTULU,"BAYUQUAN, LN",SELA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/13 12:57,E,CONCORD MARINE LIMITED
BPAR,2025/05/13 21:30,11,2025/05/13 09:14,2025/05/13 09:00,CHINA,XIN QING DAO,"XIAMEN, FJ",LAEM CHABANG,KC12,CONTAINER,RCVD,2025/05/13 18:31,S,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
9V7978,2025/05/13 23:00,12.7,2025/05/13 10:20,2025/05/13 09:00,SINGAPORE,EVER FUTURE,"SHANGHAI, SH",SINGAPORE,KC10,CONTAINER,RCVD,2025/05/14 03:23,S,EVERGREEN MARINE (HONG KONG) LTD
5LES7,2025/05/13 23:00,9.1,2025/05/13 10:28,2025/05/13 09:00,LIBERIA,EVER ORIGIN,"SHEKOU, SHENZHEN",HO CHI MINH CITY,KC7,CONTAINER,RCVD,2025/05/13 19:54,S,EVERGREEN MARINE (HONG KONG) LTD
9V7381,2025/05/12 08:00,10.6,2025/05/11 22:46,2025/05/11 20:00,SINGAPORE,WAN HAI 353,TAICHUNG,BUSAN,KC13,CONTAINER,RCVD,2025/05/12 11:56,KC13,HYALINE SHIPPING (HK) CO LTD
3EKO7,2025/05/13 08:21,11.83,2025/05/11 23:08,2025/05/11 01:00,PANAMA,GEMINI PEARL,"OTHER, VIETNAM","OTHER, KOREA, R",EMTY,CHEMICAL,RCVD,2025/05/12 14:54,EMTY,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED
D7SB,2025/05/12 09:00,9.9,2025/05/12 01:16,2025/05/12 00:01,REPUBLIC OF KOREA,DONGJIN VOYAGER,HAIPHONG,"SHANGHAI, SH",KC18,CONTAINER,RCVD,2025/05/12 08:34,KC18,SINOTRANS (HK) SHIPPING LTD
D5TI7,2025/05/12 18:00,7.1,2025/05/12 01:20,2025/05/11 23:30,LIBERIA,HONG RUN 6,"OTHER, RUSSIAN","OTHER, CHINA (COAST)",SWLA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/12 06:41,SWLA,P. M. S. HONG KONG LIMITED
3E5352,2025/05/12 18:00,8.9,2025/05/12 01:24,2025/05/11 23:00,PANAMA,SKY CHALLENGE,"SHEKOU, SHENZHEN",PUSAN,KC11,CONTAINER,RCVD,2025/05/12 12:28,KC11,"CK LINE (HONGKONG) CO., LIMITED"
3E2605,2025/05/12 09:00,6.9,2025/05/12 02:00,2025/05/11 23:59,PANAMA,DS EXPRESS 178,OPEN SEA,"ZHENJIANG, JS",SWLA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/12 06:39,SWLA,"UNITRANS AGENCY HONG KONG CO., LIMITED"
DSMA4,2025/05/12 23:00,11.1,2025/05/12 07:38,2025/05/12 02:00,REPUBLIC OF KOREA,KMTC TIANJIN,PORT KELANG,"SHANGHAI, SH",KC6,CONTAINER,RCVD,2025/05/13 00:02,PT,KMTC (HK) CO LIMITED
BRWT,2025/05/12 23:00,7.1,2025/05/12 08:09,2025/05/11 23:00,CHINA,GUANG MAO,GERALDTON,GUANGZHOU,SWLA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/12 13:22,WL,SGS HONG KONG LIMITED
5LPH8,2025/05/13 02:00,14,2025/05/12 08:10,2025/05/12 06:00,LIBERIA,HUMBOLDT EXPRESS,"YANTIAN, GD",VALPARAISO,KC5,CONTAINER,RCVD,2025/05/13 02:59,NCPBW,PENAVICO (HONG KONG) LIMITED
9V8480,2025/05/12 18:00,10.9,2025/05/12 08:16,2025/05/12 06:00,SINGAPORE,KOTA LEKAS,"NANSHA, PANYU","XIAMEN, FJ",KC3,CONTAINER,RCVD,2025/05/12 17:59,WL,PACIFIC INTERNATIONAL LINES (HK) LTD
VRUB8,2025/05/12 23:00,11.6,2025/05/12 08:28,2025/05/12 07:00,"HONG KONG, CHINA",EVER ORDER,"YANTIAN, SHENZHEN","FUQING, FJ",KC7,CONTAINER,RCVD,2025/05/12 18:27,WL,EVERGREEN MARINE (HONG KONG) LTD
V7BQ2,2025/05/12 18:53,9,2025/05/12 08:37,2025/05/11 17:00,MARSHALL ISLANDS,GENCO RESOLUTE,PORT HEDLAND,"DALIAN, LN",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/13 04:13,E,BEN LINE AGENCIES (HK) LTD
3E2779,2025/05/12 14:00,7.5,2025/05/12 09:08,2025/05/11 07:00,PANAMA,DE LONG,SINGAPORE,"DONGGUAN, GD",SWLA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/12 14:20,W,TEXCO MARINE AGENCY LIMITED
5BEB4,2025/05/12 12:00,14.4,2025/05/12 09:14,2025/05/12 05:00,CYPRUS,MARATHASSA,"ZHANJIANG, GD",NEWCASTLE,SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/12 16:49,E,WELLS MARINE AGENCIES
3FPF4,2025/05/12 21:00,5.2,2025/05/12 10:14,2025/05/12 10:00,PANAMA,SAZANKA,OPEN SEA,OPEN SEA,SWLA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/12 15:54,S,MOL HONG KONG LIMITED
VRRH2,2025/05/13 18:00,11.9,2025/05/12 10:33,2025/05/12 08:00,"HONG KONG, CHINA",FOREVER GLORY,SINGAPORE,"DALIAN, LN",PAFF,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/13 15:17,PAFF,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED
