CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,NEXT_PORT,ETD_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE,ETA_TIME
3E5147,SEA MAPLE,CGW LOGISTICS CO LIMITED,PANAMA,OPEN SEA,2025/05/14 15:00,,"FANGCHENG, GX",SWLA,7.5,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 04:00
VRCY6,SEASPAN YINGKOU,EVERGREEN MARINE (HONG KONG) LTD,"HONG KONG, CHINA","DALIAN, LN",2025/05/14 23:00,,"NINGBO, ZJ",KC10,9.2,RCVD,CONTAINER,2025/05/13 03:00
3E2170,APOLLO FIRST,VEROSA AGENCY LIMITED,PANAMA,OPEN SEA,2025/05/14 18:00,,YAWATA,PT,8.31,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/14 09:00
5LSI3,POST MARVEL,TOTAL MARINE AGENCY LIMITED,LIBERIA,SINGAPORE,2025/05/15 10:13,,PRINCE RUPERT,E,14.5,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 07:44
CQIU6,AS COLUMBIA,SINOTRANS (HK) SHIPPING LTD,PORTUGAL,LAEM CHABANG,2025/05/14 17:30,,"NANSHA, PANYU",S,7.5,RCVD,CONTAINER,2025/05/11 11:00
HP9499,HOLLY DEVELOPER,SGS HONG KONG LIMITED,PANAMA,NAKHODKA,2025/05/14 23:00,,"ZHANJIANG, GD",W,5.8,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 06:00
3E7558,MARINA ARUNG,WALLEM SHIPPING (HK) LTD,PANAMA,"DONGGUAN, GD",2025/05/15 18:43,,"OTHER, CHINA (COAST)",SLA,7.2,RCVD,CHEMICAL,2025/05/14 10:00
V7A5825,TS GUANGZHOU,T.S. LINES LIMITED,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",2025/05/15 09:34,,"SHEKOU, SHENZHEN",S,8.8,RCVD,CONTAINER,2025/05/15 13:30
VRSK4,COSCO SHIPPING LOTUS,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"HONG KONG, CHINA","YANTIAN, SHENZHEN",2025/05/15 18:00,,KAOHSIUNG,WL,13.8,RCVD,CONTAINER,2025/05/12 00:01
D7QB,HEUNG-A BANGKOK,KONG HING AGENCY LTD,REPUBLIC OF KOREA,"SHANGHAI, SH",2025/05/14 18:30,,PENANG ISLAND,S,10.2,RCVD,CONTAINER,2025/05/14 03:00
V7AQ9,GENCO RELIANCE,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,MARSHALL ISLANDS,OPEN SEA,2025/05/15 10:14,,"OTHER, CHINA (COAST)",E,11,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/14 12:00
3E7431,HUI YUAN,SGS HONG KONG LIMITED,PANAMA,"TABONEO, INDONESIA",2025/05/15 14:00,,HUIZHOUGANG,E,7.3,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/13 18:00
5BCK2,MEGALOHARI,"UNITRANS AGENCY HONG KONG CO., LIMITED",CYPRUS,OPEN SEA,2025/05/13 11:00,,"CHAOZHOU, GD",SELA,6.72,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 08:00
3EJI7,ZAMBALES,EASTERN WORLDWIDE CO LTD,PANAMA,HAIPHONG,2025/05/13 02:00,,TAIPEI,S,5.44,RCVD,RORO/REEFER CARRIER,2025/05/12 18:00
9HA5839,CNC PUMA,CMA CGM ASIA SHIPPING PTE. LTD.,MALTA,"TIANJIN XINGANG, TJ",2025/05/12 21:30,,"OTHER, VIETNAM",WL,9.02,RCVD,CONTAINER,2025/05/12 07:00
VRWI3,OOCL BAUHINIA,OOCL HONG KONG BRANCH,"HONG KONG, CHINA","YANTIAN, SHENZHEN",2025/05/13 12:00,,"YANTIAN, SHENZHEN",KC14,11.5,RCVD,CONTAINER,2025/05/15 20:00
D7VN,KMTC COLOMBO,KMTC (HK) CO LIMITED,REPUBLIC OF KOREA,QINGDAO,2025/05/13 17:00,,KARACHI,KC8,12.5,RCVD,CONTAINER,2025/05/12 21:00
VRUN6,ONE PARANA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,"HONG KONG, CHINA",SINGAPORE,2025/05/13 21:00,,"NINGBO, ZJ",KC2,14.6,RCVD,CONTAINER,2025/05/11 21:00
3E8732,HUI FENG HAI 17,CGW LOGISTICS CO LIMITED,PANAMA,BATAM,2025/05/13 08:00,,"TIANJIN XINGANG, TJ",SWLA,7.1,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/12 23:00
9V6494,WAN HAI 325,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,KAOHSIUNG,2025/05/13 18:00,,SINGAPORE,KC6,11.1,RCVD,CONTAINER,2025/05/12 23:59
VRMV2,YUEHAI STAR,CGW LOGISTICS CO LIMITED,"HONG KONG, CHINA","JIANGYIN, JS",2025/05/13 08:00,,"DONGGUAN, GD",SLA,6.3,RCVD,CHEMICAL,2025/05/12 18:00
V7A2844,STAR EXPLORER,NAMSUNG SHIPPING HONG KONG LIMITED,MARSHALL ISLANDS,HAIPHONG,2025/05/13 13:00,,INCHEON,KC10,7.6,RCVD,CONTAINER,2025/05/13 06:00
BLHP,YM IMMENSE,YANG MING LINE (HONG KONG) LTD,"TAIWAN, CHINA",KAOHSIUNG,2025/05/13 23:59,,HO CHI MINH CITY,KC7,8.4,RCVD,CONTAINER,2025/05/13 02:00
9VFL3,ACX DIAMOND,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,SINGAPORE,PORT KELANG,2025/05/13 21:00,,KEELUNG,KC5,10,RCVD,CONTAINER,2025/05/12 16:00
3E5137,CHUNRONG 803,CGW LOGISTICS CO LIMITED,PANAMA,"YANGJIANG, GD",2025/05/13 11:00,,"NANSHA, PANYU",SWLA,5,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/12 23:00
VRBK8,OSG BOSSTEC,"UNITRANS AGENCY HONG KONG CO., LIMITED","HONG KONG, CHINA",OPEN SEA,2025/05/13 08:00,,"SHEKOU, SHENZHEN",FL,6.8,RCVD,CONTAINER,2025/05/12 20:00
9LU2481,LIAN YUN 9,BRIGHT CAPITAL SHIPPING CO LIMITED,SIERRA LEONE,"QUANZHOU, FJ",2025/05/13 16:00,,TANJUNG PANDANG,S,6.2,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/11 23:59
D7IG,QINGDAO TRADER,SINOKOR HONGKONG CO LIMITED,REPUBLIC OF KOREA,HAIPHONG,2025/05/13 14:00,,HAIPHONG,WL,9.05,RCVD,CONTAINER,2025/05/17 23:30
S6ST,KOTA RATU,PACIFIC INTERNATIONAL LINES (HK) LTD,SINGAPORE,"HUANGPU, GD",2025/05/13 18:00,,KOROR,PT,4.9,RCVD,CONTAINER,2025/05/13 07:00
3E7671,FU LONG SHENG,CONCORD MARINE LIMITED,PANAMA,BINTULU,2025/05/13 23:00,,"BAYUQUAN, LN",E,7.6,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/13 23:00
BPAR,XIN QING DAO,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CHINA,"XIAMEN, FJ",2025/05/13 21:30,,LAEM CHABANG,S,11,RCVD,CONTAINER,2025/05/13 09:00
9V7978,EVER FUTURE,EVERGREEN MARINE (HONG KONG) LTD,SINGAPORE,"SHANGHAI, SH",2025/05/13 23:00,,SINGAPORE,S,12.7,RCVD,CONTAINER,2025/05/13 09:00
5LES7,EVER ORIGIN,EVERGREEN MARINE (HONG KONG) LTD,LIBERIA,"SHEKOU, SHENZHEN",2025/05/13 23:00,,HO CHI MINH CITY,S,9.1,RCVD,CONTAINER,2025/05/13 09:00
9V7381,WAN HAI 353,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,TAICHUNG,2025/05/12 08:00,,BUSAN,KC13,10.6,RCVD,CONTAINER,2025/05/11 20:00
D7SB,DONGJIN VOYAGER,SINOTRANS (HK) SHIPPING LTD,REPUBLIC OF KOREA,HAIPHONG,2025/05/12 09:00,,"SHANGHAI, SH",KC18,9.9,RCVD,CONTAINER,2025/05/12 00:01
D5TI7,HONG RUN 6,P. M. S. HONG KONG LIMITED,LIBERIA,"OTHER, RUSSIAN",2025/05/12 18:00,,"OTHER, CHINA (COAST)",SWLA,7.1,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:30
3E5352,SKY CHALLENGE,"CK LINE (HONGKONG) CO., LIMITED",PANAMA,"SHEKOU, SHENZHEN",2025/05/12 18:00,,PUSAN,KC11,8.9,RCVD,CONTAINER,2025/05/11 23:00
3E2605,DS EXPRESS 178,"UNITRANS AGENCY HONG KONG CO., LIMITED",PANAMA,OPEN SEA,2025/05/12 09:00,,"ZHENJIANG, JS",SWLA,6.9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:59
DSMA4,KMTC TIANJIN,KMTC (HK) CO LIMITED,REPUBLIC OF KOREA,PORT KELANG,2025/05/12 23:00,,"SHANGHAI, SH",PT,11.1,RCVD,CONTAINER,2025/05/12 02:00
BRWT,GUANG MAO,SGS HONG KONG LIMITED,CHINA,GERALDTON,2025/05/12 23:00,,GUANGZHOU,WL,7.1,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:00
5LPH8,HUMBOLDT EXPRESS,PENAVICO (HONG KONG) LIMITED,LIBERIA,"YANTIAN, GD",2025/05/13 02:00,,VALPARAISO,NCPBW,14,RCVD,CONTAINER,2025/05/12 06:00
9V8480,KOTA LEKAS,PACIFIC INTERNATIONAL LINES (HK) LTD,SINGAPORE,"NANSHA, PANYU",2025/05/12 18:00,,"XIAMEN, FJ",WL,10.9,RCVD,CONTAINER,2025/05/12 06:00
VRUB8,EVER ORDER,EVERGREEN MARINE (HONG KONG) LTD,"HONG KONG, CHINA","YANTIAN, SHENZHEN",2025/05/12 23:00,,"FUQING, FJ",WL,11.6,RCVD,CONTAINER,2025/05/12 07:00
V7BQ2,GENCO RESOLUTE,BEN LINE AGENCIES (HK) LTD,MARSHALL ISLANDS,PORT HEDLAND,2025/05/12 18:53,,"DALIAN, LN",E,9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 17:00
3E2779,DE LONG,TEXCO MARINE AGENCY LIMITED,PANAMA,SINGAPORE,2025/05/12 14:00,,"DONGGUAN, GD",W,7.5,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 07:00
5BEB4,MARATHASSA,WELLS MARINE AGENCIES,CYPRUS,"ZHANJIANG, GD",2025/05/12 12:00,,NEWCASTLE,E,14.4,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 05:00
3FPF4,SAZANKA,MOL HONG KONG LIMITED,PANAMA,OPEN SEA,2025/05/12 21:00,,OPEN SEA,S,5.2,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 10:00
VRRH2,FOREVER GLORY,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,"HONG KONG, CHINA",SINGAPORE,2025/05/13 18:00,,"DALIAN, LN",PAFF,11.9,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/12 08:00
3E4026,STR LUCKY,GREEN ISLAND SHIPPING AGENCY LTD,PANAMA,NAURU ISLAND,2025/05/15 23:00,,MURORAN,CCM,9.1,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 10:00
3E4003,SUNFLYTE,OCEAN BASE CO LTD,PANAMA,OPEN SEA,2025/05/12 15:10,,"SHEKOU, SHENZHEN",W,9,RCVD,CHEMICAL,2025/05/11 12:00
V7KN6,ZIRCON,OCEANUS MARITIME COMPANY LIMITED,MARSHALL ISLANDS,OPEN SEA,2025/05/12 12:00,,"SHEKOU, SHENZHEN",LKTPBW5,7,RCVD,CHEMICAL,2025/05/12 16:00
D5WB7,MANET,OOCL HONG KONG BRANCH,LIBERIA,"SHEKOU, SHENZHEN",2025/05/13 09:00,,PORT KLANG,LKTPBS,10.5,RCVD,CONTAINER,2025/05/12 16:30
9V6513,WAN HAI 293,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,"CHIWAN, SHENZHEN",2025/05/11 12:00,,"SHEKOU, SHENZHEN",KC6,9.7,RCVD,CONTAINER,2025/05/12 10:30
5LFU8,WAN HAI 178,HYALINE SHIPPING (HK) CO LTD,LIBERIA,"SHEKOU, SHENZHEN",2025/05/12 05:00,,HAIPHONG,KC6,8.5,RCVD,CONTAINER,2025/05/16 05:30
3E7593,TONGYUN12,CGW LOGISTICS CO LIMITED,PANAMA,"OTHER, KOREA, R",2025/05/11 14:00,,DUNG QUAT,S,6.5,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/11 06:30
3E7175,LAN HAI FANG ZHOU,CGW LOGISTICS CO LIMITED,PANAMA,"OTHER, KOREA, R",2025/05/11 13:00,,"OTHER, VIETNAM",S,6.2,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/11 08:00
9M3120,MTT PELEPAS,EVERGREEN MARINE (HONG KONG) LTD,MALAYSIA,SIHANOUK VILLE,2025/05/11 23:00,,"NINGBO, ZJ",WL,8.5,RCVD,CONTAINER,2025/05/11 07:00
V7DC5,TS OSAKA,T.S. LINES LIMITED,MARSHALL ISLANDS,"NINGBO, ZJ",2025/05/11 12:08,,"QINZHOU, GX",W,7.6,RCVD,CONTAINER,2025/05/11 08:30
D5ML2,KMTC BANGKOK,KMTC (HK) CO LIMITED,LIBERIA,HO CHI MINH CITY,2025/05/11 22:00,,PUSAN,E,10.25,RCVD,CONTAINER,2025/05/11 09:00
5LNQ4,MSC MAGNITUDE VII,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,LIBERIA,"YANTIAN, SHENZHEN",2025/05/12 01:00,,"NANSHA, PANYU",W,10.9,RCVD,CONTAINER,2025/05/11 14:00
2IEC6,BERGE HENG SHAN,GULF AGENCY CO (HK) LTD,ISLE OF MAN,PORT HEDLAND,2025/05/12 15:00,,"SHEKOU, SHENZHEN",W,8.67,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 15:00
3EEF9,EVER CROWN,EVERGREEN MARINE (HONG KONG) LTD,PANAMA,"SHEKOU, SHENZHEN",2025/05/18 13:00,,"ZHANJIANG, GD",S,6.45,RCVD,CONTAINER,2025/05/17 18:00
