CALL_SIGN,FLAG,SHIP_TYPE,ETA_TIME,ETD_TIME,CURRENT_LOCATION,VESSEL_MAX_DRAFT,NEXT_PORT,PASI,VESSEL_NAME,AGENT_NAME,BERTH,LAST_PORT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT
3E4003,PANAMA,CHEMICAL,2025/05/11 12:00,2025/05/12 15:10,W,9.0,OPEN SEA,RCVD,SUNFLYTE,OCEAN BASE CO LTD,SLA,"SHEKOU, SHENZHEN",23.04,29.26
V7KN6,MARSHALL ISLANDS,CHEMICAL,2025/05/12 16:00,2025/05/12 12:00,LKTPBW5,7.0,OPEN SEA,RCVD,ZIRCON,OCEANUS MARITIME COMPANY LIMITED,SLA,"SHEKOU, SHENZHEN",0,0
D5WB7,LIBERIA,CONTAINER,2025/05/12 16:30,2025/05/13 09:00,LKTPBS,10.5,"SHEKOU, SHENZHEN",RCVD,MANET,OOCL HONG KONG BRANCH,KC6,PORT KLANG,28.66,21.69
BPRY,CHINA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/10 18:00,2025/05/11 23:00,SINO,11.7,"HUANGPU, GD",RCVD,HUA HAI 21,VASTON SHIPPING AGENCY LIMITED,SINO,YANGPU,26.17,23.78
XVEQ7,VIETNAM,CONTAINER,2025/05/16 23:30,2025/05/11 18:00,KC10,7.3,"NANSHA, PANYU",RCVD,HAIAN LINK,MEGATOP AGENCY LIMITED,KC10,HAIPHONG,0,0
5LCM6,LIBERIA,CONTAINER,2025/05/10 08:00,2025/05/11 15:00,S,8.6,"YANTIAN, SHENZHEN",RCVD,MSC TARA III,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,KC2,DAVAO,20.54,31.81
9HA5092,MALTA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/11 08:00,2025/05/13 08:00,SINO,10.7,SINGAPORE,RCVD,AFRA ROSSI,VASTON SHIPPING AGENCY LIMITED,SINO,SINGAPORE,22.53,26.57
9V6513,SINGAPORE,CONTAINER,2025/05/10 23:00,2025/05/11 12:00,KC6,9.7,"CHIWAN, SHENZHEN",RCVD,WAN HAI 293,HYALINE SHIPPING (HK) CO LTD,WA2,CAT LAI PORT,26.07,25.17
5LFU8,LIBERIA,CONTAINER,2025/05/16 05:30,2025/05/12 05:00,KC6,8.5,"SHEKOU, SHENZHEN",RCVD,WAN HAI 178,HYALINE SHIPPING (HK) CO LTD,KC6,HAIPHONG,0,0
5LCT5,LIBERIA,CONTAINER,2025/05/10 23:00,2025/05/12 14:00,KC11,9.2,"SHEKOU, SHENZHEN",RCVD,AS ANNE,OOCL HONG KONG BRANCH,KC11,TAICHUNG,23.89,25.73
BPPH3,CHINA,GENERAL / HEAVY LIFT CARGO,2025/05/11 04:00,2025/05/11 15:00,SWLA,8.6,LHOKSOUMAWE,RCVD,GUO SHUN 28,CGW LOGISTICS CO LIMITED,SWLA,"ZHENJIANG, JS",15.5,37.29
3FAT7,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/10 18:00,2025/05/11 18:00,W,5.8,"OTHER, JAPAN",RCVD,JIAN RUI 7,EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,SWLA,"OTHER, CHINA (COAST)",23.25,25.66
3E7593,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/10 23:00,2025/05/11 14:00,S,6.5,"OTHER, KOREA, R",RCVD,TONGYUN12,CGW LOGISTICS CO LIMITED,SWLA,DUNG QUAT,22.6,27.41
3E7175,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/10 23:00,2025/05/11 13:00,S,6.2,"OTHER, KOREA, R",RCVD,LAN HAI FANG ZHOU,CGW LOGISTICS CO LIMITED,SELA,"OTHER, VIETNAM",25.94,27.91
9M3120,MALAYSIA,CONTAINER,2025/05/11 07:00,2025/05/11 23:00,WL,8.5,SIHANOUK VILLE,RCVD,MTT PELEPAS,EVERGREEN MARINE (HONG KONG) LTD,KC6,"NINGBO, ZJ",21.13,31.07
D5ML2,LIBERIA,CONTAINER,2025/05/11 02:00,2025/05/11 22:00,E,10.25,HO CHI MINH CITY,RCVD,KMTC BANGKOK,KMTC (HK) CO LIMITED,KC9,PUSAN,20.82,28.23
2IEC6,ISLE OF MAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 15:00,2025/05/12 15:00,W,8.67,PORT HEDLAND,RCVD,BERGE HENG SHAN,GULF AGENCY CO (HK) LTD,SELA,"SHEKOU, SHENZHEN",23.43,28.0
3FTB3,PANAMA,CONTAINER,2025/05/11 14:30,2025/05/10 23:00,KC9,6.4,"SHEKOU, SHENZHEN",RCVD,EVER CLEAR,EVERGREEN MARINE (HONG KONG) LTD,WA2,"SHEKOU, SHENZHEN",0,0
9V6516,SINGAPORE,CONTAINER,2025/05/11 11:30,2025/05/10 08:00,KC9,8.8,"SHEKOU, SHENZHEN",RCVD,WAN HAI 295,HYALINE SHIPPING (HK) CO LTD,KC9,"SHEKOU, SHENZHEN",0,0
3FDM5,PANAMA,CHEMICAL,2025/05/16 18:00,2025/05/11 15:00,PAFF,7.6,YANGPU,RCVD,HOUYOSHI EXPRESS II,VASTON SHIPPING AGENCY LIMITED,PAFF,YANGPU,0,0
V7A7436,MARSHALL ISLANDS,CONTAINER,2025/05/11 07:30,2025/05/11 09:24,KC7,8.3,"SHEKOU, SHENZHEN",RCVD,TS JOHOR,T.S. LINES LIMITED,KC7,"SHEKOU, SHENZHEN",14.28,33.94
VRNW3,"HONG KONG, CHINA","TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/10 08:00,2025/05/10 16:00,PT,11.0,SINGAPORE,RCVD,NEW PEACE,WALLEM SHIPPING (HK) LTD,SLA,ZHOUSHAN,13.0,46.37
9LU2780,SIERRA LEONE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/10 08:00,2025/05/10 20:00,WL,6.9,OPEN SEA,RCVD,YONG SHUN,"UNITRANS AGENCY HONG KONG CO., LIMITED",SELA,"OTHER, CHINA (COAST)",15.18,38.34
OXCQ2,DENMARK,CONTAINER,2025/05/10 07:00,2025/05/10 23:00,WL,12.0,"SHANGHAI, SH",RCVD,SAN ANTONIO MAERSK,PENAVICO (HONG KONG) LIMITED,KC18,SINGAPORE,17.27,31.85
V7A2845,MARSHALL ISLANDS,CONTAINER,2025/05/10 08:00,2025/05/10 23:00,E,6.8,HAIPHONG,RCVD,STAR FRONTIER,NAMSUNG SHIPPING HONG KONG LIMITED,KC4,INCHEON,19.93,33.5
DSIJ9,REPUBLIC OF KOREA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/10 18:00,2025/05/11 04:00,E,6.3,ULSAN,RCVD,WOO JONG,PENAVICO (HONG KONG) LIMITED,SINO,"OTHER, CHINA (COAST)",31.63,12.36
ELXX8,LIBERIA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/10 09:00,2025/05/12 12:00,EMTY,13.1,SINGAPORE,RCVD,SANTA CRUZ I,VASTON SHIPPING AGENCY LIMITED,EMTY,SINGAPORE,21.44,27.28
9V7396,SINGAPORE,CONTAINER,2025/05/10 09:00,2025/05/10 23:00,W,9.5,"NINGBO, ZJ",RCVD,WAN HAI A01,HYALINE SHIPPING (HK) CO LTD,KC9,"SHEKOU, SHENZHEN",19.63,31.64
5LAR7,LIBERIA,CONTAINER,2025/05/10 10:00,2025/05/10 22:00,E,8.6,"YANTIAN, SHENZHEN",RCVD,MSC SHAHAR,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,KC1,SYDNEY,19.69,27.92
9VCB4,SINGAPORE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/10 12:00,2025/05/11 01:00,E,7.3,NEWCASTLE,RCVD,XH DEEP COVER,GRANDFAME SHIP MANAGEMENT LTD,SELA,HUIZHOUGANG,24.35,24.17
9V7800,SINGAPORE,CONTAINER,2025/05/16 07:00,2025/05/16 15:00,WL,8.3,"SHEKOU, SHENZHEN",RCVD,EVER WIN,EVERGREEN MARINE (HONG KONG) LTD,PSSA,"SHANGHAI, SH",13.72,46.38
BPBY,CHINA,CONTAINER,2025/05/16 08:00,2025/05/16 23:00,S,11.2,"XINGANG, TIANJIN, TJ",RCVD,XIN DAN DONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,SELA,"OTHER, VIETNAM",17.38,32.88
