CALL_SIGN,FLAG,SHIP_TYPE,ETA_TIME,ETD_TIME,CURRENT_LOCATION,VESSEL_MAX_DRAFT,NEXT_PORT,PASI,VESSEL_NAME,AGENT_NAME,BERTH,LAST_PORT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT
D7VN,REPUBLIC OF KOREA,CONTAINER,2025/05/12 21:00,2025/05/13 17:00,KC8,12.5,QINGDAO,RCVD,KMTC COLOMBO,KMTC (HK) CO LIMITED,KC8,KARACHI,21.76,31.02
VRUN6,"HONG KONG, CHINA",CONTAINER,2025/05/11 21:00,2025/05/13 21:00,KC2,14.6,SINGAPORE,RCVD,ONE PARANA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KC2,"NINGBO, ZJ",22.45,25.81
3E8732,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/12 23:00,2025/05/13 08:00,SWLA,7.1,BATAM,RCVD,HUI FENG HAI 17,CGW LOGISTICS CO LIMITED,SWLA,"TIANJIN XINGANG, TJ",29.64,17.57
9V6494,SINGAPORE,CONTAINER,2025/05/12 23:59,2025/05/13 18:00,KC6,11.1,KAOHSIUNG,RCVD,WAN HAI 325,HYALINE SHIPPING (HK) CO LTD,KC6,SINGAPORE,24.09,28.82
VRMV2,"HONG KONG, CHINA",CHEMICAL,2025/05/12 18:00,2025/05/13 08:00,SLA,6.3,"JIANGYIN, JS",RCVD,YUEHAI STAR,CGW LOGISTICS CO LIMITED,SLA,"DONGGUAN, GD",28.07,13.3
V7A2844,MARSHALL ISLANDS,CONTAINER,2025/05/13 06:00,2025/05/13 13:00,KC10,7.6,HAIPHONG,RCVD,STAR EXPLORER,NAMSUNG SHIPPING HONG KONG LIMITED,KC10,INCHEON,12.68,34.84
BLHP,"TAIWAN, CHINA",CONTAINER,2025/05/13 02:00,2025/05/13 23:59,KC7,8.4,KAOHSIUNG,RCVD,YM IMMENSE,YANG MING LINE (HONG KONG) LTD,KC7,HO CHI MINH CITY,21.82,29.56
9VFL3,SINGAPORE,CONTAINER,2025/05/12 16:00,2025/05/13 21:00,KC5,10.0,PORT KELANG,RCVD,ACX DIAMOND,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KC5,KEELUNG,23.36,24.44
3E5137,PANAMA,GENERAL / HEAVY LIFT CARGO,2025/05/10 23:00,2025/05/13 11:00,SWLA,5.0,"YANGJIANG, GD",RCVD,CHUNRONG 803,CGW LOGISTICS CO LIMITED,SWLA,"NANSHA, PANYU",23.82,24.7
VRBK8,"HONG KONG, CHINA",CONTAINER,2025/05/12 20:00,2025/05/13 08:00,FL,6.8,OPEN SEA,RCVD,OSG BOSSTEC,"UNITRANS AGENCY HONG KONG CO., LIMITED",PT,"SHEKOU, SHENZHEN",28.25,12.86
