CALL_SIGN,BERTH,ADJUSTED_START,ADJUSTED_END
A8VG2,WA3,2025-05-13 23:00:00,2025-05-14 10:00:00
5BEB4,CMTY,2025-05-12 05:00:00,2025-05-12 12:00:00
3E2170,SLA,2025-05-14 07:30:00,2025-05-14 16:30:00
3E4122,KC10,2025-05-15 03:02:00,2025-05-15 20:57:00
9V7936,KC11,2025-05-12 10:00:00,2025-05-16 20:00:00
3FDY9,KC19,2025-05-14 21:30:00,2025-05-15 08:30:00
DSMA4,KC11,2025-05-12 02:00:00,2025-05-12 23:00:00
DSOA9,KC11,2025-05-12 14:00:00,2025-05-14 12:00:00
D5ML2,WA3,2025-05-11 09:00:00,2025-05-11 22:00:00
D7VN,CMTY,2025-05-12 21:00:00,2025-05-13 17:00:00
D5YE7,SELA,2025-05-15 19:30:00,2025-05-16 13:00:00
HO3256,KC8,2025-05-16 05:00:00,2025-05-16 18:00:00
9WUY7,KC14,2025-05-14 02:34:00,2025-05-14 17:04:00
V7A2844,KC14,2025-05-13 02:18:00,2025-05-13 09:18:00
S6ST,KC,2025-05-13 07:00:00,2025-05-13 18:00:00
V7KN6,KC11,2025-05-12 14:29:00,2025-05-12 10:29:00
9V8480,CSWFM,2025-05-12 06:00:00,2025-05-12 18:00:00
3FPF4,KC16,2025-05-12 10:00:00,2025-05-12 21:00:00
3E4026,KC4,2025-05-12 10:00:00,2025-05-15 23:00:00
3EJI7,SHELL,2025-05-12 18:00:00,2025-05-13 02:00:00
V7BQ2,KC10,2025-05-11 17:00:00,2025-05-12 18:53:00
5LNQ4,KC11,2025-05-11 14:00:00,2025-05-12 01:00:00
3E5352,SHELL,2025-05-11 23:00:00,2025-05-12 18:00:00
D7QB,CSWFM,2025-05-14 03:00:00,2025-05-14 18:30:00
5LSI3,CMTY,2025-05-14 07:44:00,2025-05-15 10:13:00
3FDM5,KC11,2025-05-10 00:43:00,2025-05-04 21:43:00
TJM5208,KC11,2025-05-16 18:00:00,2025-05-16 08:00:00
XVEQ7,KC11,2025-05-10 20:39:00,2025-05-05 15:09:00
D7IG,KC11,2025-05-13 08:15:00,2025-05-08 22:45:00
